"","region","year","age20","age25"
"745","Namibia","1980","40.066","31.59"
"746","South Africa","1980","1348.008","1158.299"
"747","Swaziland","1980","23.249","15.79"
"748","Western Africa","1980","5877.344","4969.395"
"749","Benin","1980","145.496","117.271"
"750","Burkina Faso","1980","304.737","229.915"
"751","Cape Verde","1980","11.654","6.381"
"752","Côte d'Ivoire","1980","366.072","336.011"
"753","Gambia","1980","28.896","24.722"
"754","Ghana","1980","471.977","372.093"
"755","Guinea","1980","195.309","166.638"
"756","Guinea-Bissau","1980","33.344","36.876"
"757","Liberia","1980","81.432","65.796"
"758","Mali","1980","312.198","258.087"
"759","Mauritania","1980","68.869","53.649"
"760","Niger","1980","164.803","212.105"
"761","Nigeria","1980","3243.359","2719.294"
"762","Senegal","1980","211.513","169.301"
"763","Sierra Leone","1980","128.526","111.454"
"764","Togo","1980","108.882","89.591"
"765","ASIA","1980","123085.01","113551.891"
"766","Eastern Asia","1980","54035.361","54961.205"
"767","China","1980","45783.253","47205.07"
"768","China, Hong Kong SAR","1980","350.404","262.503"
"769","China, Macao SAR","1980","16.877","13.018"
"770","Dem. People's Republic of Korea","1980","829.61","476.51"
"771","Japan","1980","3926.578","4550.095"
"772","Mongolia","1980","68.106","54.792"
"773","Republic of Korea","1980","2067.694","1520.565"
"774","Other non-specified areas","1980","992.839","878.652"
"775","South-Central Asia","1980","46707.222","40062.101"
"776","Central Asia","1980","2047.686","1589.003"
"777","Kazakhstan","1980","754.583","633.937"
"778","Kyrgyzstan","1980","180.242","137.798"
"779","Tajikistan","1980","178.749","133.434"
"780","Turkmenistan","1980","145.553","105.164"
"781","Uzbekistan","1980","788.559","578.67"
"782","Southern Asia","1980","44659.536","38473.098"
"783","Afghanistan","1980","644.195","541.07"
"784","Bangladesh","1980","3442.234","2299.721"
"785","Bhutan","1980","18.663","17.172"
"786","India","1980","33793.694","30049.397"
"787","Iran (Islamic Republic of)","1980","1841.625","1520.865"
"788","Maldives","1980","7.049","4.58"
"789","Nepal","1980","669.904","561.64"
"790","Pakistan","1980","3488.163","2859.34"
"791","Sri Lanka","1980","754.009","619.313"
"792","South-Eastern Asia","1980","17095.209","13844.8"
"793","Brunei Darussalam","1980","9.959","10.634"
"794","Cambodia","1980","300.004","246.017"
"795","Indonesia","1980","7061.606","5483.031"
"796","Lao People's Democratic Republic","1980","138.997","113.205"
"797","Malaysia","1980","667.842","552.511"
"798","Myanmar","1980","1537.059","1333.165"
"799","Philippines","1980","2346.495","1993.969"
"800","Singapore","1980","152.839","129.433"
"801","Thailand","1980","2318.891","1898.744"
"802","Timor-Leste","1980","30.928","25.374"
"803","Viet Nam","1980","2530.589","2058.717"
"804","Western Asia","1980","5247.218","4683.785"
"805","Armenia","1980","175.405","127.027"
"806","Azerbaijan","1980","340.38","218.302"
"807","Bahrain","1980","26.788","30.634"
"808","Cyprus","1980","37.233","31.716"
"809","Georgia","1980","216.113","182.885"
"810","Iraq","1980","562.997","550.747"
"811","Israel","1980","157.29","159.817"
"812","Jordan","1980","103.551","68.951"
"813","Kuwait","1980","74.947","87.919"
"814","Lebanon","1980","127.296","105.243"
"815","Occupied Palestinian Territory","1980","60.891","48.333"
"816","Oman","1980","51.698","56.36"
"817","Qatar","1980","17.347","20.044"
"818","Saudi Arabia","1980","461.041","486.553"
"819","Syrian Arab Republic","1980","385.11","297.113"
"820","Turkey","1980","2014.558","1803.49"
"821","United Arab Emirates","1980","92.421","143.863"
"822","Yemen","1980","342.152","264.788"
"823","EUROPE","1980","28727.164","27209.133"
"824","Eastern Europe","1980","13261.674","12620.163"
"825","Belarus","1980","436.305","373.434"
"826","Bulgaria","1980","322.668","327.83"
"827","Czech Republic","1980","370.626","424.331"
"828","Hungary","1980","400.449","456.344"
"829","Poland","1980","1709.276","1699.038"
"830","Republic of Moldova","1980","179.431","167.985"
"831","Romania","1980","893.989","898.275"
"832","Russian Federation","1980","6673.405","6177.127"
"833","Slovakia","1980","225.535","221.847"
"834","Ukraine","1980","2049.99","1873.952"
"835","Northern Europe","1980","3413.59","3212.862"
"836","Channel Islands","1980","4.731","4.914"
"837","Denmark","1980","190.166","191.441"
"838","Estonia","1980","61.323","58.969"
"839","Finland","1980","196.845","208.747"
"840","Iceland","1980","11.086","9.674"
"841","Ireland","1980","138.209","123.752"
"842","Latvia","1980","102.467","93.803"
"843","Lithuania","1980","147.648","124.07"
"844","Norway","1980","158.26","155.849"
"845","Sweden","1980","284.043","298.517"
"846","United Kingdom","1980","2115.104","1939.957"
"847","Southern Europe","1980","5296.14","4891.895"
"848","Albania","1980","141.563","108.737"
"849","Bosnia and Herzegovina","1980","206.072","187.099"
"850","Croatia","1980","176.796","187.87"
"851","Greece","1980","354.478","329.364"
"852","Italy","1980","2012.236","1865.684"
"853","Malta","1980","16.526","16.039"
"854","Montenegro","1980","28.211","25.462"
"855","Portugal","1980","379.51","334.673"
"856","Serbia","1980","356.878","399.355"
"857","Slovenia","1980","73.13","80.959"
"858","Spain","1980","1460.26","1269.142"
"859","TFYR Macedonia","1980","86.175","82.853"
"860","Western Europe","1980","6755.76","6484.213"
"861","Austria","1980","296.179","255.515"
"862","Belgium","1980","397.934","379.427"
"863","France","1980","2120.87","2151.288"
"864","Germany","1980","3088.41","2865.103"
"865","Luxembourg","1980","14.407","14.541"
"866","Netherlands","1980","606.467","587.285"
"867","Switzerland","1980","229.736","229.027"
"868","LATIN AMERICA AND THE CARIBBEAN","1980","16803.895","14019.203"
"869","Caribbean","1980","1311.039","1104.452"
"870","Aruba","1980","3.098","2.443"
"871","Bahamas","1980","10.799","8.353"
"872","Barbados","1980","12.858","10.313"
"873","Cuba","1980","404.982","389.56"
"874","Dominican Republic","1980","277.843","213.875"
"875","Grenada","1980","4.086","2.942"
"876","Guadeloupe","1980","15.372","10.822"
"877","Haiti","1980","250.574","205.028"
"878","Jamaica","1980","96.3","70.801"
"879","Martinique","1980","16.496","10.43"
"880","Netherlands Antilles","1980","8.344","6.875"
"881","Puerto Rico","1980","129.242","110.819"
"882","Saint Lucia","1980","4.839","3.296"
"883","Saint Vincent and the Grenadines","1980","4.886","2.916"
"884","Trinidad and Tobago","1980","56.215","43.851"
"885","United States Virgin Islands","1980","3.047","2.707"
"886","Central America","1980","4164.202","3283.367"
"887","Belize","1980","6.375","4.223"
"888","Costa Rica","1980","125.752","101.877"
"889","El Salvador","1980","191.571","152.519"
"890","Guatemala","1980","296.942","255.944"
"891","Honduras","1980","161.012","128.466"
"892","Mexico","1980","3137.556","2445.264"
"893","Nicaragua","1980","154.744","120.319"
"894","Panama","1980","90.25","74.755"
"895","South America","1980","11328.654","9631.384"
"896","Argentina","1980","1090.874","1054.587"
"897","Bolivia (Plurinational State of)","1980","235.254","195.012"
"898","Brazil","1980","5883.89","4968.827"
"899","Chile","1980","574.344","456.12"
"900","Colombia","1980","1345.739","1095.446"
"901","Ecuador","1980","365.019","310.85"
"902","French Guiana","1980","3.594","3.287"
"903","Guyana","1980","37.482","28.456"
"904","Paraguay","1980","149.21","125.554"
"905","Peru","1980","790.004","652.41"
"906","Suriname","1980","17.983","12.531"
"907","Uruguay","1980","109.499","99.027"
"908","Venezuela (Bolivarian Republic of)","1980","725.697","629.234"
"909","NORTHERN AMERICA","1980","12068.085","11021.933"
"910","Canada","1980","1223.893","1106.588"
"911","United States of America","1980","10838.27","9910.192"
"912","OCEANIA","1980","1018.091","928.846"
"913","Australia/New Zealand","1980","780.772","729.917"
"914","Australia","1980","644.368","611.38"
"915","New Zealand","1980","136.404","118.537"
"916","Melanesia","1980","198.573","168"
"917","Fiji","1980","32.606","25.585"
"918","New Caledonia","1980","6.352","5.412"
"919","Papua New Guinea","1980","144.973","125.257"
"920","Solomon Islands","1980","9.261","7.366"
"921","Vanuatu","1980","5.381","4.38"
"922","Micronesia","1980","14.92","12.516"
"923","Guam","1980","6.042","5.214"
"924","Micronesia (Fed. States of)","1980","3.203","2.652"
"925","Polynesia","1980","23.826","18.413"
"926","French Polynesia","1980","7.787","6.12"
"927","Samoa","1980","8.736","7.172"
"928","Tonga","1980","4.219","2.826"
"929","WORLD","1990","249650.901","220026.996"
"930","More developed regions","1990","43250.392","45268.806"
"931","Less developed regions","1990","206400.509","174758.19"
"932","Least developed countries","1990","23021.679","19212.726"
"933","Less developed regions, excluding least developed countries","1990","183378.83","155545.464"
"934","Less developed regions, excluding China","1990","139637.347","122335.506"
"935","Sub-Saharan Africa","1990","22291.984","18531.31"
"936","AFRICA","1990","27771.732","23154.44"
"937","Eastern Africa","1990","8400.332","6870.236"
"938","Burundi","1990","252.202","223.427"
"939","Comoros","1990","19.399","16.366"
"940","Djibouti","1990","25.87","21.44"
"941","Eritrea","1990","130.43","93.849"
"942","Ethiopia","1990","2107.833","1744.466"
"943","Kenya","1990","1025.008","821.702"
"944","Madagascar","1990","506.855","420.699"
"945","Malawi","1990","391.631","347.713"
"946","Mauritius","1990","60.151","59.752"
"947","Mayotte","1990","4.218","3.298"
"948","Mozambique","1990","542.55","388.2"
"949","Réunion","1990","32.849","28.068"
"950","Rwanda","1990","292.125","242.099"
"951","Somalia","1990","296.253","243.375"
"952","Uganda","1990","767.735","615.667"
"953","United Republic of Tanzania","1990","1113.788","914.401"
"954","Zambia","1990","352.342","282.547"
"955","Zimbabwe","1990","475.692","399.936"
"956","Middle Africa","1990","3016.324","2505.496"
"957","Angola","1990","440.144","367.989"
"958","Cameroon","1990","517.338","423.504"
"959","Central African Republic","1990","122.346","103.678"
"960","Chad","1990","244.221","203.913"
"961","Congo","1990","106.668","86.996"
"962","Democratic Republic of the Congo","1990","1524.551","1261.059"
"963","Equatorial Guinea","1990","20.077","21.028"
"964","Gabon","1990","36.136","33.409"
"965","Sao Tome and Principe","1990","4.843","3.92"
"966","Northern Africa","1990","6659.675","5596.303"
"967","Algeria","1990","1213.864","1022.833"
"968","Egypt","1990","2496.008","2120.875"
"969","Libyan Arab Jamahiriya","1990","204.752","172.138"
"970","Morocco","1990","1158.049","951.841"
"971","Sudan","1990","1179.927","973.173"
"972","Tunisia","1990","396.759","345.219"
"973","Western Sahara","1990","10.316","10.224"
"974","Southern Africa","1990","1946.126","1660.076"
"975","Botswana","1990","61.945","52.559"
"976","Lesotho","1990","68.492","49.273"
"977","Namibia","1990","65.699","53.481"
"978","South Africa","1990","1716.37","1480.248"
"979","Swaziland","1990","33.62","24.515"
"980","Western Africa","1990","7749.275","6522.329"
"981","Benin","1990","199.301","163.967"
"982","Burkina Faso","1990","417.333","318.273"
"983","Cape Verde","1990","15.219","13.901"
"984","Côte d'Ivoire","1990","526.634","470.467"
"985","Gambia","1990","46.198","36.999"
"986","Ghana","1990","689.31","565.926"
"987","Guinea","1990","249.748","210.013"
"988","Guinea-Bissau","1990","32.734","33.868"
"989","Liberia","1990","93.426","77.235"
"990","Mali","1990","370.827","275.736"
"991","Mauritania","1990","91.966","74.764"
"992","Niger","1990","256.034","296.89"
"993","Nigeria","1990","4116.014","3470.833"
"994","Senegal","1990","319.627","244.073"
"995","Sierra Leone","1990","166.233","140.827"
"996","Togo","1990","158.372","128.334"
"997","ASIA","1990","162038.925","136710.533"
"998","Eastern Asia","1990","74685.42","59585.306"
"999","China","1990","65491.615","51078.633"
"1000","China, Hong Kong SAR","1990","247.704","311.701"
"1001","China, Macao SAR","1990","12.645","17.448"
"1002","Dem. People's Republic of Korea","1990","1144.35","864.6"
"1003","Japan","1990","4418.488","4041.046"
"1004","Mongolia","1990","105.958","93.45"
"1005","Republic of Korea","1990","2253.462","2163.526"
"1006","Other non-specified areas","1990","1011.198","1014.902"
"1007","South-Central Asia","1990","58479.228","51538.397"
"1008","Central Asia","1990","2169.845","2187.372"
"1009","Kazakhstan","1990","672.042","734.976"
"1010","Kyrgyzstan","1990","187.151","185.885"
"1011","Tajikistan","1990","231.397","219.374"
"1012","Turkmenistan","1990","172.291","158.127"
"1013","Uzbekistan","1990","906.964","889.01"
"1014","Southern Asia","1990","56309.383","49351.025"
"1015","Afghanistan","1990","590.413","488.182"
"1016","Bangladesh","1990","5353.933","4582.54"
"1017","Bhutan","1990","22.971","19.418"
"1018","India","1990","41507.582","36730.774"
"1019","Iran (Islamic Republic of)","1990","2248.872","1849.438"
"1020","Maldives","1990","9.55","7.904"
"1021","Nepal","1990","861.812","708.856"
"1022","Pakistan","1990","4880.951","4211.22"
"1023","Sri Lanka","1990","833.299","752.693"
"1024","South-Eastern Asia","1990","21952.351","19277.3"
"1025","Brunei Darussalam","1990","10.448","12.788"
"1026","Cambodia","1990","421.22","357.835"
"1027","Indonesia","1990","9253.928","8036.35"
"1028","Lao People's Democratic Republic","1990","192.857","159.417"
"1029","Malaysia","1990","839.054","827.933"
"1030","Myanmar","1990","1903.674","1638.387"
"1031","Philippines","1990","2969.274","2597.003"
"1032","Singapore","1990","152.935","172.725"
"1033","Thailand","1990","2991.052","2575.18"
"1034","Timor-Leste","1990","38.729","31.517"
"1035","Viet Nam","1990","3179.18","2868.165"
"1036","Western Asia","1990","6921.926","6309.53"
"1037","Armenia","1990","140.712","161.738"
"1038","Azerbaijan","1990","327.838","329.737"
"1039","Bahrain","1990","23.769","35.239"
"1040","Cyprus","1990","36.724","33.526"
"1041","Georgia","1990","204.215","222.273"
"1042","Iraq","1990","790.48","500.642"
"1043","Israel","1990","181.376","167.119"
"1044","Jordan","1990","179.718","133.697"
"1045","Kuwait","1990","73.371","81.557"
"1046","Lebanon","1990","141.605","121.352"
"1047","Occupied Palestinian Territory","1990","97.319","78.031"
"1048","Oman","1990","80.014","86.487"
"1049","Qatar","1990","22.637","37.413"
"1050","Saudi Arabia","1990","935.686","993.459"
"1051","Syrian Arab Republic","1990","570.764","454.935"
"1052","Turkey","1990","2520.641","2346.753"
"1053","United Arab Emirates","1990","101.883","128.468"
"1054","Yemen","1990","493.174","397.104"
"1055","EUROPE","1990","27040.228","28271.202"
"1056","Eastern Europe","1990","10501.333","11594.18"
"1057","Belarus","1990","340.205","413.752"
"1058","Bulgaria","1990","299.674","294.369"
"1059","Czech Republic","1990","348.453","341.654"
"1060","Hungary","1990","352.237","311.36"
"1061","Poland","1990","1258.02","1353.928"
"1062","Republic of Moldova","1990","147.067","164.251"
"1063","Romania","1990","1006.055","713.569"
"1064","Russian Federation","1990","4844.242","5922.016"
"1065","Slovakia","1990","192.745","203.405"
"1066","Ukraine","1990","1712.635","1875.876"
"1067","Northern Europe","1990","3597.605","3659.135"
"1068","Channel Islands","1990","5.491","6.273"
"1069","Denmark","1990","203.296","206.314"
"1070","Estonia","1990","54.649","56.884"
"1071","Finland","1990","177.519","192.863"
"1072","Iceland","1990","10.618","10.996"
"1073","Ireland","1990","136.704","124.449"
"1074","Latvia","1990","95.516","104.401"
"1075","Lithuania","1990","144.012","154.691"
"1076","Norway","1990","173.216","166.275"
"1077","Sweden","1990","311.195","310.593"
"1078","United Kingdom","1990","2280.835","2321.055"
"1079","Southern Europe","1990","5821.011","5627.976"
"1080","Albania","1990","162.75","160.067"
"1081","Bosnia and Herzegovina","1990","195.099","196.904"
"1082","Croatia","1990","154","161.7"
"1083","Greece","1990","395.948","355.872"
"1084","Italy","1990","2335.662","2287.625"
"1085","Malta","1990","12.425","15.479"
"1086","Montenegro","1990","25.591","25.263"
"1087","Portugal","1990","385.341","363.009"
"1088","Serbia","1990","347.279","344.071"
"1089","Slovenia","1990","72.327","74.925"
"1090","Spain","1990","1650.057","1559.783"
"1091","TFYR Macedonia","1990","80.45","78.8"
"1092","Western Europe","1990","7120.279","7389.911"
"1093","Austria","1990","326.253","343.411"
"1094","Belgium","1990","376.786","402.091"
"1095","France","1990","2151.524","2151.427"
"1096","Germany","1990","3345.177","3538.733"
"1097","Luxembourg","1990","14.455","16.764"
"1098","Netherlands","1990","644.837","660.147"
"1099","Switzerland","1990","259.202","275.038"
"1100","LATIN AMERICA AND THE CARIBBEAN","1990","20700.28","18673.391"
"1101","Caribbean","1990","1647","1518.06"
"1102","Aruba","1990","2.289","2.686"
"1103","Bahamas","1990","12.886","13.242"
"1104","Barbados","1990","12.507","13.168"
"1105","Cuba","1990","583.398","566.175"
"1106","Dominican Republic","1990","346.76","303.734"
"1107","Grenada","1990","3.797","3.607"
"1108","Guadeloupe","1990","17.017","17.893"
"1109","Haiti","1990","304.706","262.869"
"1110","Jamaica","1990","116.657","97.352"
"1111","Martinique","1990","16.445","16.249"
"1112","Netherlands Antilles","1990","7.722","9.018"
"1113","Puerto Rico","1990","141.231","129.222"
"1114","Saint Lucia","1990","6.208","5.448"
"1115","Saint Vincent and the Grenadines","1990","5.331","4.898"
"1116","Trinidad and Tobago","1990","53.643","57.275"
"1117","United States Virgin Islands","1990","3.536","3.5"
"1118","Central America","1990","5341.391","4376.302"
"1119","Belize","1990","9.157","7.855"
"1120","Costa Rica","1990","150.186","152.849"
"1121","El Salvador","1990","233.478","177.642"
"1122","Guatemala","1990","381.972","303.896"
"1123","Honduras","1990","226.288","182.592"
"1124","Mexico","1990","4038.824","3295.583"
"1125","Nicaragua","1990","178.604","150.708"
"1126","Panama","1990","122.882","105.177"
"1127","South America","1990","13711.889","12779.029"
"1128","Argentina","1990","1242.552","1166.964"
"1129","Bolivia (Plurinational State of)","1990","295.853","246.774"
"1130","Brazil","1990","6968.419","6691.088"
"1131","Chile","1990","624.894","638.236"
"1132","Colombia","1990","1718.831","1500.009"
"1133","Ecuador","1990","494.223","422.091"
"1134","French Guiana","1990","4.889","6.174"
"1135","Guyana","1990","37.399","33.005"
"1136","Paraguay","1990","196.902","168.716"
"1137","Peru","1990","1044.123","903.228"
"1138","Suriname","1990","21.749","20.9"
"1139","Uruguay","1990","114.174","110.5"
"1140","Venezuela (Bolivarian Republic of)","1990","947.788","871.262"
"1141","NORTHERN AMERICA","1990","10958.304","12106.174"
"1142","Canada","1990","1081.239","1308.276"
"1143","United States of America","1990","9871.253","10791.261"
"1144","OCEANIA","1990","1141.432","1111.256"
"1145","Australia/New Zealand","1990","833.372","850.384"
"1146","Australia","1990","696.265","713.122"
"1147","New Zealand","1990","137.107","137.262"
"1148","Melanesia","1990","258.114","218.774"
"1149","Fiji","1990","33.602","33.131"
"1150","New Caledonia","1990","7.568","6.609"
"1151","Papua New Guinea","1990","196.8","161.676"
"1152","Solomon Islands","1990","14.04","11.802"
"1153","Vanuatu","1990","6.104","5.556"
"1154","Micronesia","1990","21.049","18.886"
"1155","Guam","1990","8.376","7.351"
"1156","Micronesia (Fed. States of)","1990","4.525","3.554"
"1157","Polynesia","1990","28.897","23.212"
"1158","French Polynesia","1990","10.07","9.022"
"1159","Samoa","1990","8.651","6.543"
"1160","Tonga","1990","5.945","3.818"
"1161","WORLD","2000","262991.519","256377.544"
"1162","More developed regions","2000","41601.201","42747.33"
"1163","Less developed regions","2000","221390.318","213630.214"
"1164","Least developed countries","2000","30176.641","25171.555"
"1165","Less developed regions, excluding least developed countries","2000","191213.677","188458.659"
"1166","Less developed regions, excluding China","2000","171814.259","150180.44"
"1167","Sub-Saharan Africa","2000","30760.725","25150.482"
"1168","AFRICA","2000","37751.372","30820.262"
"1169","Eastern Africa","2000","11508.645","9277.255"
"1170","Burundi","2000","268.562","197.79"
"1171","Comoros","2000","27.917","22.192"
"1172","Djibouti","2000","34.326","29.293"
"1173","Eritrea","2000","214.156","153.669"
"1174","Ethiopia","2000","2755.83","2348.415"
"1175","Kenya","2000","1545.891","1228.315"
"1176","Madagascar","2000","696.914","585.616"
"1177","Malawi","2000","532.241","407.617"
"1178","Mauritius","2000","57.436","47.565"
"1179","Mayotte","2000","6.947","6.056"
"1180","Mozambique","2000","797.42","615.017"
"1181","Réunion","2000","29.642","28.287"
"1182","Rwanda","2000","365.732","269.341"
"1183","Somalia","2000","353.005","284.14"
"1184","Uganda","2000","1081.056","877.427"
"1185","United Republic of Tanzania","2000","1585.491","1280.363"
"1186","Zambia","2000","494.929","400.824"
"1187","Zimbabwe","2000","657.593","491.852"
"1188","Middle Africa","2000","4190.906","3414.786"
"1189","Angola","2000","601.863","483.034"
"1190","Cameroon","2000","729.168","592.207"
"1191","Central African Republic","2000","166.274","137.675"
"1192","Chad","2000","360.289","289.194"
"1193","Congo","2000","150.623","127.217"
"1194","Democratic Republic of the Congo","2000","2105.107","1716.202"
"1195","Equatorial Guinea","2000","15.711","18.49"
"1196","Gabon","2000","54.459","45.802"
"1197","Sao Tome and Principe","2000","7.412","4.965"
"1198","Northern Africa","2000","8572.884","6999.677"
"1199","Algeria","2000","1618.653","1366.993"
"1200","Egypt","2000","3217.765","2479.259"
"1201","Libyan Arab Jamahiriya","2000","300.561","253.425"
"1202","Morocco","2000","1367.071","1153.553"
"1203","Sudan","2000","1582.237","1329.897"
"1204","Tunisia","2000","470.935","401.239"
"1205","Western Sahara","2000","15.662","15.311"
"1206","Southern Africa","2000","2507.714","2223.15"
"1207","Botswana","2000","91.916","74.188"
"1208","Lesotho","2000","99.932","73.753"
"1209","Namibia","2000","92.766","80.692"
"1210","South Africa","2000","2175.439","1960.567"
"1211","Swaziland","2000","47.661","33.95"
"1212","Western Africa","2000","10971.223","8905.394"
"1213","Benin","2000","280.176","233.301"
"1214","Burkina Faso","2000","586.546","456.853"
"1215","Cape Verde","2000","19.434","15.52"
"1216","Côte d'Ivoire","2000","788.252","643.87"
"1217","Gambia","2000","60.65","45.628"
"1218","Ghana","2000","917.938","776.304"
"1219","Guinea","2000","371.662","307.638"
"1220","Guinea-Bissau","2000","53.154","53.507"
"1221","Liberia","2000","135.739","111.257"
"1222","Mali","2000","535.245","418.893"
"1223","Mauritania","2000","127.634","107.275"
"1224","Niger","2000","375.788","321.095"
"1225","Nigeria","2000","5854.323","4719.074"
"1226","Senegal","2000","450.688","359.485"
"1227","Sierra Leone","2000","187.724","150.875"
"1228","Togo","2000","226.063","184.606"
"1229","ASIA","2000","163418.38","165926.05"
"1230","Eastern Asia","2000","56779.238","71660.44"
"1231","China","2000","48328.723","62304.605"
"1232","China, Hong Kong SAR","2000","227.501","237"
"1233","China, Macao SAR","2000","12.741","13.171"
"1234","Dem. People's Republic of Korea","2000","762.549","1082.715"
"1235","Japan","2000","4293.249","4961.475"
"1236","Mongolia","2000","119.059","109.049"
"1237","Republic of Korea","2000","2028.322","2057.427"
"1238","Other non-specified areas","2000","1007.094","894.998"
"1239","South-Central Asia","2000","73075.069","63202.262"
"1240","Central Asia","2000","2481.415","2224.717"
"1241","Kazakhstan","2000","633.645","589.156"
"1242","Kyrgyzstan","2000","224.603","201.714"
"1243","Tajikistan","2000","270.068","234.05"
"1244","Turkmenistan","2000","209.664","184.928"
"1245","Uzbekistan","2000","1143.435","1014.869"
"1246","Southern Asia","2000","70593.654","60977.545"
"1247","Afghanistan","2000","1017.922","842.123"
"1248","Bangladesh","2000","6422.448","5405.531"
"1249","Bhutan","2000","26.995","20.762"
"1250","India","2000","50934.653","44909.9"
"1251","Iran (Islamic Republic of)","2000","3518.859","2694.22"
"1252","Maldives","2000","11.755","9.631"
"1253","Nepal","2000","1125.44","919.052"
"1254","Pakistan","2000","6664.706","5426.504"
"1255","Sri Lanka","2000","870.876","749.822"
"1256","South-Eastern Asia","2000","24735.886","22909.506"
"1257","Brunei Darussalam","2000","15.479","16.939"
"1258","Cambodia","2000","340.264","445.13"
"1259","Indonesia","2000","10667.745","9769.358"
"1260","Lao People's Democratic Republic","2000","245.759","207.285"
"1261","Malaysia","2000","1053.123","973.284"
"1262","Myanmar","2000","2212.386","2147.947"
"1263","Philippines","2000","3718.228","3145.823"
"1264","Singapore","2000","127.82","155.402"
"1265","Thailand","2000","2664.743","2618.695"
"1266","Timor-Leste","2000","27.718","29.561"
"1267","Viet Nam","2000","3662.621","3400.082"
"1268","Western Asia","2000","8828.187","8153.842"
"1269","Armenia","2000","113.202","90.896"
"1270","Azerbaijan","2000","318.271","298.364"
"1271","Bahrain","2000","32.434","41.285"
"1272","Cyprus","2000","44.106","38.532"
"1273","Georgia","2000","170.631","163.984"
"1274","Iraq","2000","1197.317","998.203"
"1275","Israel","2000","264.948","234.049"
"1276","Jordan","2000","254.771","233.316"
"1277","Kuwait","2000","94.469","145.869"
"1278","Lebanon","2000","163.519","148.832"
"1279","Occupied Palestinian Territory","2000","145.77","119.157"
"1280","Oman","2000","134.394","131.098"
"1281","Qatar","2000","22.603","38.881"
"1282","Saudi Arabia","2000","925.035","1191.418"
"1283","Syrian Arab Republic","2000","843.126","688.621"
"1284","Turkey","2000","3115.358","2743.609"
"1285","United Arab Emirates","2000","192.857","300.562"
"1286","Yemen","2000","795.376","547.166"
"1287","EUROPE","2000","25659.698","26100.572"
"1288","Eastern Europe","2000","11872.581","11037.819"
"1289","Belarus","2000","373.189","356.703"
"1290","Bulgaria","2000","303.842","292.115"
"1291","Czech Republic","2000","451.819","417.46"
"1292","Hungary","2000","423.834","390.687"
"1293","Poland","2000","1582.082","1393.133"
"1294","Republic of Moldova","2000","158.547","135.808"
"1295","Romania","2000","975.188","892.281"
"1296","Russian Federation","2000","5561.551","5232.977"
"1297","Slovakia","2000","241.83","214.65"
"1298","Ukraine","2000","1800.699","1712.005"
"1299","Northern Europe","2000","2928.744","3250.631"
"1300","Channel Islands","2000","4.136","4.885"
"1301","Denmark","2000","168.785","194.26"
"1302","Estonia","2000","48.556","47.242"
"1303","Finland","2000","167.542","155.785"
"1304","Iceland","2000","10.787","10.671"
"1305","Ireland","2000","157.961","147.064"
"1306","Latvia","2000","81.306","83.495"
"1307","Lithuania","2000","119.968","123.785"
"1308","Norway","2000","140.628","166.962"
"1309","Sweden","2000","264.967","301.079"
"1310","United Kingdom","2000","1760.404","2011.603"
"1311","Southern Europe","2000","5337.127","5717.397"
"1312","Albania","2000","103.472","103.535"
"1313","Bosnia and Herzegovina","2000","134.841","126.385"
"1314","Croatia","2000","159.059","150.28"
"1315","Greece","2000","441.628","439.389"
"1316","Italy","2000","1842.619","2206.728"
"1317","Malta","2000","15.584","13.484"
"1318","Montenegro","2000","24.977","22.635"
"1319","Portugal","2000","406.513","405.155"
"1320","Serbia","2000","389.551","373.486"
"1321","Slovenia","2000","78.231","74.797"
"1322","Spain","2000","1653.264","1718.432"
"1323","TFYR Macedonia","2000","83.487","78.5"
"1324","Western Europe","2000","5521.246","6094.725"
"1325","Austria","2000","237.183","277.66"
"1326","Belgium","2000","321.306","352.014"
"1327","France","2000","1891.885","2073.27"
"1328","Germany","2000","2365.79","2540.948"
"1329","Luxembourg","2000","12.836","15.606"
"1330","Netherlands","2000","483.24","594.741"
"1331","Switzerland","2000","207.19","238.364"
"1332","LATIN AMERICA AND THE CARIBBEAN","2000","24120.252","21491.064"
"1333","Caribbean","2000","1547.987","1557.129"
"1334","Aruba","2000","2.427","3.02"
"1335","Bahamas","2000","11.649","12.586"
"1336","Barbados","2000","9.923","10.863"
"1337","Cuba","2000","377.15","531.79"
"1338","Dominican Republic","2000","388.004","349.225"
"1339","Grenada","2000","4.687","3.884"
"1340","Guadeloupe","2000","13.648","14.861"
"1341","Haiti","2000","383.317","296.816"
"1342","Jamaica","2000","107.372","105.046"
"1343","Martinique","2000","10.754","12.615"
"1344","Netherlands Antilles","2000","4.359","5.247"
"1345","Puerto Rico","2000","149.741","133.303"
"1346","Saint Lucia","2000","6.924","6.119"
"1347","Saint Vincent and the Grenadines","2000","5.227","4.54"
"1348","Trinidad and Tobago","2000","59.818","52.767"
"1349","United States Virgin Islands","2000","2.776","2.866"
"1350","Central America","2000","6407.239","5790.546"
"1351","Belize","2000","10.986","10.194"
"1352","Costa Rica","2000","178.371","156.538"
"1353","El Salvador","2000","258.363","209.182"
"1354","Guatemala","2000","489.898","375.883"
"1355","Honduras","2000","287.367","229.997"
"1356","Mexico","2000","4803.755","4481.9"
"1357","Nicaragua","2000","243.55","194.092"
"1358","Panama","2000","134.949","132.76"
