Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
30,Thursday May 4,boxscore,LAA,@,SEA,L,3,11,,15-15,2,4.5,Miranda,Meyer,,2:53,N,15915,--,
31,Friday May 5,boxscore,LAA,,HOU,L,6,7,10,15-16,2,5.5,Giles,Norris,Devenski,3:05,N,34556,---,
32,Saturday May 6,boxscore,LAA,,HOU,W-wo,2,1,,16-16,2,4.5,Norris,Devenski,,2:47,N,41097,+,
33,Sunday May 7,boxscore,LAA,,HOU,L,3,5,,16-17,2,5.5,Fiers,Shoemaker,Giles,3:00,D,38385,-,
34,Monday May 8,boxscore,LAA,@,OAK,L-wo,2,3,11,16-18,2,6,Hendriks,Guerra,,3:06,N,10292,--,
35,Tuesday May 9,boxscore,LAA,@,OAK,W,7,3,,17-18,2,6,Meyer,Cotton,Norris,3:07,N,11383,+,
36,Wednesday May 10,boxscore,LAA,@,OAK,L,1,3,,17-19,3,7,Triggs,Chavez,Casilla,2:55,D,11061,-,
37,Thursday May 11,boxscore,LAA,,DET,L,1,7,,17-20,4,8,Fulmer,Ramirez,,3:00,N,30207,--,
38,Friday May 12,boxscore,LAA,,DET,W,7,0,,18-20,2,8,Shoemaker,Zimmermann,,3:04,N,44311,+,
39,Saturday May 13,boxscore,LAA,,DET,L,3,4,,18-21,3,8.5,Wilson,Norris,Wilson,3:14,N,40251,-,
40,Sunday May 14,boxscore,LAA,,DET,W,4,1,,19-21,3,8,Meyer,Verlander,Norris,3:09,D,36215,+,
41,Monday May 15,boxscore,LAA,,CHW,W,5,3,,20-21,2,8,Chavez,Pelfrey,Norris,3:01,N,29445,++,
42,Tuesday May 16,boxscore,LAA,,CHW,W-wo,7,6,11,21-21,2,8,Petit,Robertson,,4:01,N,36089,+++,
43,Wednesday May 17,boxscore,LAA,,CHW,W,12,8,,22-21,2,8,Shoemaker,Gonzalez,,3:28,N,33234,++++,
44,Friday May 19,boxscore,LAA,@,NYM,L,0,3,,22-22,3,8,deGrom,Nolasco,Reed,2:53,N,36542,-,
45,Saturday May 20,boxscore,LAA,@,NYM,L,5,7,,22-23,3,8,Wheeler,Meyer,Reed,3:37,N,37264,--,
46,Sunday May 21,boxscore,LAA,@,NYM,W,12,5,,23-23,3,7,Chavez,Milone,,3:17,D,39501,+,
47,Monday May 22,boxscore,LAA,@,TBR,W,3,2,,24-23,3,7,Ramirez,Diaz,Norris,3:37,N,12249,++,
48,Tuesday May 23,boxscore,LAA,@,TBR,W,4,0,,25-23,2,7,Shoemaker,Cobb,,2:56,N,9014,+++,
49,Wednesday May 24,boxscore,LAA,@,TBR,L,2,5,,25-24,2,7,Ramirez,Nolasco,Colome,2:52,N,9975,-,
50,Thursday May 25,boxscore,LAA,@,TBR,L,0,4,,25-25,2,8,Andriese,Wright,,3:04,D,9459,--,
51,Friday May 26,boxscore,LAA,@,MIA,L,5,8,,25-26,2,9,Straily,Chavez,Ramos,3:13,N,18346,---,
52,Saturday May 27,boxscore,LAA,@,MIA,W,5,2,,26-26,2,9,Ramirez,Worley,,3:03,D,19366,+,
53,Sunday May 28,boxscore,LAA,@,MIA,L,2,9,,26-27,2,10,Urena,Shoemaker,,3:28,D,20444,-,
54,Monday May 29,boxscore,LAA,,ATL,L,3,6,,26-28,2,11,Teheran,Nolasco,Johnson,2:50,N,38251,--,
55,Tuesday May 30,boxscore,LAA,,ATL,W,9,3,,27-28,2,11,Bridwell,Colon,,2:47,N,32028,+,
56,Wednesday May 31,boxscore,LAA,,ATL,W,2,1,,28-28,2,11,Parker,Vizcaino,Norris,2:49,N,35795,++,
57,Thursday Jun 1,boxscore,LAA,,MIN,L,2,4,,28-29,2,11.5,Rogers,Alvarez,Kintzler,3:19,N,33426,-,
58,Friday Jun 2,boxscore,LAA,,MIN,L,5,11,,28-30,2,12.5,Gibson,Ramirez,,3:19,N,39042,--,
59,Saturday Jun 3,boxscore,LAA,,MIN,W,7,2,,29-30,2,12.5,Shoemaker,Santana,,3:18,N,40236,+,
60,Sunday Jun 4,boxscore,LAA,,MIN,L,2,3,,29-31,2,13.5,Berrios,Nolasco,Kintzler,3:13,D,39701,-,
61,Tuesday Jun 6,boxscore,LAA,@,DET,W,5,3,,30-31,2,13,Chavez,Norris,Norris,3:14,N,24175,+,
62,Wednesday Jun 7,boxscore,LAA,@,DET,L,0,4,,30-32,3,13,Farmer,Meyer,,2:58,N,24958,-,
63,Thursday Jun 8,boxscore,LAA,@,DET,W,11,4,,31-32,2,13,Ramirez,Fulmer,,3:24,D,34810,+,
64,Friday Jun 9,boxscore,LAA,@,HOU,W,9,4,,32-32,2,12,Shoemaker,Peacock,,3:20,N,40786,++,
65,Saturday Jun 10,boxscore,LAA,@,HOU,L,1,3,,32-33,2,13,Fiers,Nolasco,Giles,2:52,D,41296,-,
66,Sunday Jun 11,boxscore,LAA,@,HOU,W,12,6,,33-33,2,12,Middleton,Feliz,,3:39,D,32425,+,
67,Monday Jun 12,boxscore,LAA,,NYY,L,3,5,,33-34,2,12,Clippard,Alvarez,Betances,3:40,N,36245,-,
68,Tuesday Jun 13,boxscore,LAA,,NYY,W-wo,3,2,11,34-34,2,11,Middleton,Shreve,,4:14,N,33159,+,
69,Wednesday Jun 14,boxscore,LAA,,NYY,W,7,5,,35-34,2,11,Parker,Herrera,Hernandez,3:23,N,43851,++,
70,Thursday Jun 15,boxscore,LAA,,KCR,L,2,7,,35-35,2,11.5,Strahm,Nolasco,,2:48,N,34884,-,
71,Friday Jun 16,boxscore,LAA,,KCR,L,1,3,,35-36,3,11.5,Kennedy,Chavez,Herrera,2:38,N,34184,--,
72,Saturday Jun 17,boxscore,LAA,,KCR,W,9,0,,36-36,3,11.5,Meyer,Junis,,2:51,N,41209,+,
73,Sunday Jun 18,boxscore,LAA,,KCR,L,3,7,,36-37,3,11.5,Vargas,Ramirez,Herrera,3:28,D,40178,-,
74,Tuesday Jun 20,boxscore,LAA,@,NYY,W,8,3,,37-37,2,12,Parker,Clippard,,3:26,N,39853,+,
75,Wednesday Jun 21,boxscore,LAA,@,NYY,L,4,8,,37-38,3,13,Montgomery,Nolasco,,3:14,N,,-,
76,Thursday Jun 22,boxscore,LAA,@,NYY,W,10,5,,38-38,3,13,Petit,Severino,,3:24,N,43051,+,
77,Friday Jun 23,boxscore,LAA,@,BOS,L,4,9,,38-39,3,13,Porcello,Meyer,,3:07,N,37034,-,
78,Saturday Jun 24,boxscore,LAA,@,BOS,W,6,3,,39-39,3,13,Ramirez,Price,Parker,3:34,N,36868,+,
79,Sunday Jun 25,boxscore,LAA,@,BOS,W,4,2,,40-39,2,13,Bridwell,Fister,Petit,2:50,D,36474,++,
80,Monday Jun 26,boxscore,LAA,@,LAD,W,4,0,,41-39,2,12.5,Nolasco,Hill,,2:53,N,43126,+++,
81,Tuesday Jun 27,boxscore,LAA,@,LAD,L,0,4,,41-40,2,12.5,Maeda,Chavez,,2:30,N,47245,-,
82,Wednesday Jun 28,boxscore,LAA,,LAD,W-wo,3,2,,42-40,2,12.5,Bedrosian,Baez,,3:11,N,44669,+,
83,Thursday Jun 29,boxscore,LAA,,LAD,L,2,6,,42-41,2,13.5,Kershaw,Ramirez,Jansen,3:06,N,44807,-,
84,Friday Jun 30,boxscore,LAA,,SEA,L,0,10,,42-42,2,13.5,Miranda,Bridwell,,2:45,N,40059,--,
85,Saturday Jul 1,boxscore,LAA,,SEA,W,4,0,,43-42,2,13.5,Nolasco,Gaviglio,,2:32,N,44644,+,
86,Sunday Jul 2,boxscore,LAA,,SEA,L,3,5,,43-43,2,14.5,Paxton,Chavez,Diaz,3:10,D,39279,-,
87,Monday Jul 3,boxscore,LAA,@,MIN,L,5,9,,43-44,2,15,Mejia,Meyer,,3:00,N,36182,--,
88,Tuesday Jul 4,boxscore,LAA,@,MIN,L,4,5,,43-45,2,16,Gibson,Ramirez,Kintzler,3:20,D,25013,---,
89,Wednesday Jul 5,boxscore,LAA,@,MIN,W,2,1,,44-45,2,16,Bridwell,Santana,Norris,2:54,N,19106,+,
90,Friday Jul 7,boxscore,LAA,@,TEX,L,0,10,,44-46,2,16.5,Hamels,Nolasco,,2:49,N,40276,-,
91,Saturday Jul 8,boxscore,LAA,@,TEX,L,2,5,,44-47,3,16.5,Ross,Chavez,,3:13,N,36817,--,
92,Sunday Jul 9,boxscore,LAA,@,TEX,W,3,0,,45-47,2,16.5,Ramirez,Darvish,Norris,3:08,D,28384,+,
93,Friday Jul 14,boxscore,LAA,,TBR,L,1,2,10,45-48,3,17.5,Boxberger,Bedrosian,Colome,3:04,N,38119,-,
94,Saturday Jul 15,boxscore,LAA,,TBR,L,3,6,,45-49,4,17.5,Cobb,Ramirez,,3:00,N,38515,--,
95,Sunday Jul 16,boxscore,LAA,,TBR,W,4,3,,46-49,4,17.5,Hernandez,Diaz,Norris,3:03,D,36178,+,
96,Tuesday Jul 18,boxscore,LAA,,WSN,L,3,4,,46-50,4,18,Jackson,Bedrosian,Doolittle,2:57,N,43345,-,
97,Wednesday Jul 19,boxscore,LAA,,WSN,W,7,0,,47-50,3,17,Meyer,Gonzalez,,2:47,N,41065,+,
98,Friday Jul 21,boxscore,LAA,,BOS,L,2,6,,47-51,3,18,Sale,Nolasco,,3:05,N,37714,-,
99,Saturday Jul 22,boxscore,LAA,,BOS,W,7,3,,48-51,3,18,Ramirez,Price,,3:07,N,43829,+,
100,Sunday Jul 23,boxscore,LAA,,BOS,W,3,2,,49-51,2,17,Bridwell,Porcello,Norris,2:13,D,40471,++,
101,Tuesday Jul 25,boxscore,LAA,@,CLE,L-wo,7,11,11,49-52,4,18.5,Otero,Norris,,4:14,N,22364,-,
102,Wednesday Jul 26,boxscore,LAA,@,CLE,L,4,10,,49-53,4,18.5,Shaw,Nolasco,,3:31,N,22658,--,
103,Thursday Jul 27,boxscore,LAA,@,CLE,L,1,2,,49-54,4,19,Bauer,Ramirez,Allen,2:44,D,28083,---,
104,Friday Jul 28,boxscore,LAA,@,TOR,W,7,2,,50-54,4,19,Bridwell,Happ,,2:47,N,39828,+,
105,Saturday Jul 29,boxscore,LAA,@,TOR,W,6,5,,51-54,3,18,Scribner,Osuna,Norris,2:52,D,46502,++,
106,Sunday Jul 30,boxscore,LAA,@,TOR,L-wo,10,11,,51-55,3,18,Dermody,Norris,,3:38,D,46852,-,
107,Tuesday Aug 1,boxscore,LAA,,PHI,W,7,1,,52-55,3,17.5,Nolasco,Nola,,3:20,N,36344,+,
108,Wednesday Aug 2,boxscore,LAA,,PHI,W,7,0,,53-55,3,16.5,Ramirez,Thompson,,2:33,N,34623,++,
109,Thursday Aug 3,boxscore,LAA,,PHI,W,5,4,,54-55,3,15.5,Petit,Garcia,Norris,3:07,N,34710,+++,
110,Friday Aug 4,boxscore,LAA,,OAK,W,8,6,,55-55,3,15.5,Chavez,Coulombe,Norris,3:31,N,43330,++++,
111,Saturday Aug 5,boxscore,LAA,,OAK,L,0,5,,55-56,3,15.5,Blackburn,Skaggs,,3:24,N,39180,-,
112,Sunday Aug 6,boxscore,LAA,,OAK,L,10,11,,55-57,3,16.5,Smith,Norris,Treinen,4:12,D,38278,--,
113,Monday Aug 7,boxscore,LAA,,BAL,L,2,6,,55-58,3,17,Bundy,Ramirez,,2:42,N,34142,---,
114,Tuesday Aug 8,boxscore,LAA,,BAL,W,3,2,,56-58,3,16,Bridwell,Hellickson,Middleton,2:46,N,35723,+,
115,Wednesday Aug 9,boxscore,LAA,,BAL,W,5,1,,57-58,3,15,Scribner,Gausman,,3:06,D,36202,++,
116,Thursday Aug 10,boxscore,LAA,@,SEA,W,6,3,,58-58,3,14,Norris,Diaz,Bedrosian,3:14,N,35021,+++,
117,Friday Aug 11,boxscore,LAA,@,SEA,W,6,5,,59-58,2,13,Middleton,Pazos,Petit,3:04,N,38206,++++,
118,Saturday Aug 12,boxscore,LAA,@,SEA,W,6,3,,60-58,2,12,Middleton,Zych,Bedrosian,3:11,N,45388,+++++,
119,Sunday Aug 13,boxscore,LAA,@,SEA,W,4,2,,61-58,2,12,Bridwell,Miranda,Middleton,2:59,D,43199,++++++,
120,Tuesday Aug 15,boxscore,LAA,@,WSN,L,1,3,,61-59,2,12.5,Gonzalez,Skaggs,Doolittle,2:36,N,32355,-,
121,Wednesday Aug 16,boxscore,LAA,@,WSN,W,3,2,,62-59,2,12.5,Nolasco,Roark,Bedrosian,2:51,D,30307,+,
122,Friday Aug 18,boxscore,LAA,@,BAL,L-wo,7,9,,62-60,2,13,O'Day,Middleton,,3:13,N,26185,-,
123,Saturday Aug 19,boxscore,LAA,@,BAL,W,5,1,,63-60,2,13,Ramirez,Gausman,,3:15,N,43929,+,
124,Sunday Aug 20,boxscore,LAA,@,BAL,W,5,4,,64-60,2,12,Bedrosian,Brach,Norris,3:25,D,24715,++,
125,Monday Aug 21,boxscore,LAA,,TEX,L,3,5,,64-61,2,12.5,Hamels,Skaggs,Claudio,3:11,N,35204,-,
126,Tuesday Aug 22,boxscore,LAA,,TEX,W,10,1,,65-61,2,11.5,Middleton,Ross,,3:58,N,37033,+,
127,Wednesday Aug 23,boxscore,LAA,,TEX,L,5,7,10,65-62,2,12.5,Claudio,Paredes,Barnette,3:41,N,35497,-,
128,Thursday Aug 24,boxscore,LAA,,TEX,L,0,3,,65-63,2,12.5,Perez,Scribner,Rodriguez,2:46,N,34032,--,
129,Friday Aug 25,boxscore,LAA,,HOU,L,1,2,,65-64,3,13.5,McHugh,Bridwell,Giles,2:56,N,42333,---,
130,Saturday Aug 26,boxscore,LAA,,HOU,W,7,6,,66-64,2,12.5,Wood,Clippard,Parker,3:01,N,41101,+,
131,Sunday Aug 27,boxscore,LAA,,HOU,L,5,7,,66-65,2,13.5,Musgrove,Bedrosian,Giles,3:16,D,37606,-,
132,Monday Aug 28,boxscore,LAA,,OAK,W,3,1,,67-65,2,13,Heaney,Gossett,Parker,2:53,N,33719,+,
133,Tuesday Aug 29,boxscore,LAA,,OAK,W,8,2,,68-65,2,12,Chavez,Smith,,2:53,N,36229,++,
134,Wednesday Aug 30,boxscore,LAA,,OAK,W,10,8,,69-65,2,11,Bedrosian,Hatcher,Parker,3:34,N,36022,+++,
135,Friday Sep 1,boxscore,LAA,@,TEX,L,9,10,,69-66,2,12,Claudio,Bedrosian,,4:33,N,32240,-,
136,Saturday Sep 2,boxscore,LAA,@,TEX,W,7,4,10,70-66,2,12.5,Petit,Leclerc,Parker,4:09,N,25138,+,
137,Sunday Sep 3,boxscore,LAA,@,TEX,L,6,7,,70-67,2,13.5,Perez,Heaney,Barnette,3:49,D,28783,-,
138,Monday Sep 4,boxscore,LAA,@,OAK,W,11,9,11,71-67,2,13.5,Salas,Treinen,Middleton,4:38,D,14571,+,
139,Tuesday Sep 5,boxscore,LAA,@,OAK,W,8,7,10,72-67,2,13.5,Bedrosian,Treinen,Paredes,4:12,N,11110,++,
140,Wednesday Sep 6,boxscore,LAA,@,OAK,L,1,3,,72-68,2,14.5,Manaea,Skaggs,Hatcher,3:10,D,10544,-,
141,Friday Sep 8,boxscore,LAA,@,SEA,L,3,4,,72-69,2,14.5,Leake,Nolasco,Diaz,3:09,N,21396,--,
142,Saturday Sep 9,boxscore,LAA,@,SEA,L,1,8,,72-70,2,14,Albers,Heaney,,3:15,N,26248,---,
143,Sunday Sep 10,boxscore,LAA,@,SEA,W,5,3,,73-70,2,13,Bedrosian,Vincent,Petit,2:45,D,20094,+,
144,Tuesday Sep 12,boxscore,LAA,,HOU,L,0,1,,73-71,2,14,Verlander,Richards,Giles,2:51,N,36088,-,
145,Wednesday Sep 13,boxscore,LAA,,HOU,W,9,1,,74-71,2,13,Skaggs,Fiers,,2:28,N,33899,+,
146,Thursday Sep 14,boxscore,LAA,,HOU,L,2,5,,74-72,2,14,Peacock,Nolasco,,3:20,N,35715,-,
147,Friday Sep 15,boxscore,LAA,,TEX,W,7,6,,75-72,2,14,Petit,Mendez,Parker,3:20,N,41409,+,
148,Saturday Sep 16,boxscore,LAA,,TEX,W,2,0,,76-72,2,14,Bridwell,Hamels,Petit,2:45,N,40719,++,
149,Sunday Sep 17,boxscore,LAA,,TEX,L,2,4,,76-73,2,15,Gonzalez,Richards,Diekman,3:22,D,36709,-,
150,Tuesday Sep 19,boxscore,LAA,,CLE,L,3,6,,76-74,2,16,Clevinger,Skaggs,,3:20,N,36171,--,
151,Wednesday Sep 20,boxscore,LAA,,CLE,L,5,6,,76-75,2,17,Olson,Petit,Shaw,3:40,N,38424,---,
152,Thursday Sep 21,boxscore,LAA,,CLE,L,1,4,,76-76,2,17,McAllister,Bridwell,Olson,3:01,D,29863,----,
153,Friday Sep 22,boxscore,LAA,@,HOU,L,0,3,,76-77,2,18,Verlander,Petit,Giles,3:00,N,34127,-----,
154,Saturday Sep 23,boxscore,LAA,@,HOU,L,2,6,,76-78,2,19,Morton,Norris,,2:38,D,34035,------,
155,Sunday Sep 24,boxscore,LAA,@,HOU,W,7,5,,77-78,2,18,Middleton,Devenski,Parker,3:49,N,36756,+,
156,Monday Sep 25,boxscore,LAA,@,CHW,L,2,4,,77-79,2,19,Shields,Nolasco,Minaya,2:59,N,13443,-,
157,Tuesday Sep 26,boxscore,LAA,@,CHW,W,9,3,,78-79,2,19,Bridwell,Volstad,,2:57,N,13786,+,
158,Wednesday Sep 27,boxscore,LAA,@,CHW,L-wo,4,6,10,78-80,2,20,Farquhar,Parker,,3:58,N,17012,-,
159,Thursday Sep 28,boxscore,LAA,@,CHW,L,4,5,,78-81,2,21,Infante,Chavez,Minaya,3:04,N,19596,--,
160,Friday Sep 29,boxscore,LAA,,SEA,W,6,5,,79-81,2,21,Wood,Rzepczynski,Parker,3:01,N,35106,+,
161,Saturday Sep 30,boxscore,LAA,,SEA,L,4,6,,79-82,2,21,Lawrence,Bedrosian,Diaz,3:32,N,38075,-,
162,Sunday Oct 1,boxscore,LAA,,SEA,W,6,2,,80-82,2,21,Bridwell,Simmons,,2:38,D,34940,+,
