"Team","W","pWAR","hWAR","fWAR","year"
"Indians",79,12.8,12.9,25.7,1963
"Mets",51,3.1,-4.6,-1.5,1963
"Orioles",86,12.8,21.7,34.5,1963
"Phillies",87,12.2,27.4,39.6,1963
"Pirates",74,15.3,20.5,35.8,1963
"Red Sox",76,17.4,19.6,37,1963
"Reds",86,21.1,20.1,41.2,1963
"Senators",56,3.9,3.9,7.8,1963
"Tigers",79,8.9,23.6,32.5,1963
"Twins",91,16.3,32.7,49,1963
"White Sox",94,22.7,24.8,47.5,1963
"Yankees",104,20.8,27.3,48.1,1963
"Angels",82,17.7,14.8,32.5,1964
"Athletics",57,1.4,8.7,10.1,1964
"Braves",88,5.3,35,40.3,1964
"Cardinals",93,18.1,23.5,41.6,1964
"Colt .45's",66,14.7,-0.9,13.8,1964
"Cubs",76,10.8,20,30.8,1964
"Dodgers",80,18.8,19.3,38.1,1964
"Giants",90,16.2,21.5,37.7,1964
"Indians",79,17,10.3,27.3,1964
"Mets",53,5.1,8.2,13.3,1964
"Orioles",97,17.1,27.7,44.8,1964
"Phillies",92,13,23.5,36.5,1964
"Pirates",80,17.9,21.8,39.7,1964
"Red Sox",72,14.7,16.5,31.2,1964
"Reds",92,24.8,19.2,44,1964
"Senators",62,7.2,7.4,14.6,1964
"Tigers",85,13.8,23.7,37.5,1964
"Twins",79,14.5,27.9,42.4,1964
"White Sox",98,19.4,26.6,46,1964
"Yankees",99,19.1,25.8,44.9,1964
"Angels",75,13.7,15.2,28.9,1965
"Astros",65,16.3,7.4,23.7,1965
"Athletics",59,6.6,10.6,17.2,1965
"Braves",86,12,31.7,43.7,1965
"Cardinals",80,13.8,17.5,31.3,1965
"Cubs",72,10.2,10.2,20.4,1965
"Dodgers",97,15.6,25.6,41.2,1965
"Giants",95,18.7,21.4,40.1,1965
"Indians",87,21.7,20.4,42.1,1965
"Mets",50,4.9,-0.2,4.7,1965
"Orioles",94,16.2,24.7,40.9,1965
"Phillies",85,19.5,17.6,37.1,1965
"Pirates",90,20,26.5,46.5,1965
"Red Sox",62,15.9,19.4,35.3,1965
"Reds",89,16.7,33.1,49.8,1965
"Senators",70,4.1,8,12.1,1965
"Tigers",89,17.7,18.7,36.4,1965
"Twins",102,11.9,32,43.9,1965
"White Sox",95,14.2,27.8,42,1965
"Yankees",77,16.6,12.2,28.8,1965
"Angels",80,7.2,15.4,22.6,1966
"Astros",72,15.3,13.1,28.4,1966
"Athletics",74,12.1,8.9,21,1966
"Braves",85,13.4,30,43.4,1966
"Cardinals",83,14.6,19.9,34.5,1966
"Cubs",59,8.7,13.2,21.9,1966
"Dodgers",95,25.5,22.1,47.6,1966
"Giants",93,19.1,21.5,40.6,1966
"Indians",81,21,10.9,31.9,1966
"Mets",66,1.7,5.9,7.6,1966
"Orioles",97,17.5,31.2,48.7,1966
"Phillies",87,14.6,22.2,36.8,1966
"Pirates",92,14.4,33.8,48.2,1966
"Red Sox",72,12.5,15.9,28.4,1966
"Reds",76,16.5,10.7,27.2,1966
"Senators",71,9.4,14.9,24.3,1966
"Tigers",88,8.1,28.3,36.4,1966
"Twins",89,22.4,24.2,46.6,1966
"White Sox",83,17.8,18.1,35.9,1966
"Yankees",70,13.8,17.6,31.4,1966
"Angels",84,6.8,21.2,28,1967
"Astros",69,12.2,17.7,29.9,1967
"Athletics",62,12,9.9,21.9,1967
"Braves",77,11.8,19.8,31.6,1967
"Cardinals",101,18.2,29.2,47.4,1967
"Cubs",87,11.4,26.3,37.7,1967
"Dodgers",73,15.8,13.2,29,1967
"Giants",91,17.2,26.1,43.3,1967
"Indians",75,17,13.6,30.6,1967
"Mets",61,7.3,4.3,11.6,1967
"Orioles",76,12.2,27.4,39.6,1967
"Phillies",82,21.3,16.6,37.9,1967
"Pirates",81,6.9,28.3,35.2,1967
"Red Sox",92,16.8,27.3,44.1,1967
"Reds",87,22.3,11.9,34.2,1967
"Senators",76,10.5,10.6,21.1,1967
"Tigers",91,12.7,33.1,45.8,1967
"Twins",91,24.8,16.7,41.5,1967
"White Sox",89,16.5,17.2,33.7,1967
"Yankees",72,12.4,9,21.4,1967
"Angels",67,3.4,15,18.4,1968
"Astros",72,16.6,6.3,22.9,1968
"Athletics",82,9.8,23.8,33.6,1968
"Braves",81,16.1,22.3,38.4,1968
"Cardinals",97,19.8,23.6,43.4,1968
"Cubs",84,10.7,20.7,31.4,1968
"Dodgers",76,15.2,16.1,31.3,1968
"Giants",88,18.7,23.6,42.3,1968
"Indians",86,21,15,36,1968
"Mets",73,16.5,13.4,29.9,1968
"Orioles",91,16.2,30.3,46.5,1968
"Phillies",76,12.9,12.7,25.6,1968
"Pirates",80,12.3,30.3,42.6,1968
"Red Sox",86,17,20.3,37.3,1968
"Reds",83,7.9,27.1,35,1968
"Senators",65,5.1,6.4,11.5,1968
"Tigers",103,17.8,34.3,52.1,1968
"Twins",79,23.1,15.8,38.9,1968
"White Sox",67,13.2,9.8,23,1968
"Yankees",83,13,14.8,27.8,1968
"Angels",71,13.4,6.8,20.2,1969
"Astros",81,19.9,16.3,36.2,1969
"Athletics",88,7.2,29.3,36.5,1969
"Braves",93,15.1,25.2,40.3,1969
"Cardinals",87,22,17.7,39.7,1969
"Cubs",92,24.7,17.1,41.8,1969
"Dodgers",85,14.6,24.2,38.8,1969
"Expos",52,4.2,9.1,13.3,1969
"Giants",90,16.6,25,41.6,1969
"Indians",62,15.4,2.1,17.5,1969
"Mets",100,17.3,20.7,38,1969
"Orioles",109,20.5,44.6,65.1,1969
"Padres",52,3.9,3.2,7.1,1969
"Phillies",63,9.3,12.2,21.5,1969
"Pilots",64,6.9,5.3,12.2,1969
"Pirates",88,20.5,30.1,50.6,1969
"Red Sox",87,13.4,23.6,37,1969
"Reds",89,7.5,28.4,35.9,1969
"Royals",69,15.7,7.2,22.9,1969
"Senators",86,7.1,26.6,33.7,1969
"Tigers",90,19.9,22.4,42.3,1969
"Twins",97,21.7,30.8,52.5,1969
"White Sox",68,12.2,12.6,24.8,1969
"Yankees",80,14.9,16.1,31,1969
"Angels",86,8.9,21.3,30.2,1970
"Astros",79,14.4,16,30.4,1970
"Athletics",89,12.2,27.9,40.1,1970
"Braves",76,13.9,19.8,33.7,1970
"Brewers",65,12.1,9.4,21.5,1970
"Cardinals",76,20.9,11.1,32,1970
"Cubs",84,27.1,17.1,44.2,1970
"Dodgers",87,6.9,29.4,36.3,1970
"Expos",73,5.9,14.7,20.6,1970
"Giants",86,10.4,22.4,32.8,1970
"Indians",76,14.2,13.8,28,1970
"Mets",83,18,24.1,42.1,1970
"Orioles",108,20.4,36.9,57.3,1970
"Padres",63,6.5,15.9,22.4,1970
"Phillies",73,18.9,-1.4,17.5,1970
"Pirates",89,17.5,25,42.5,1970
"Red Sox",87,17.9,27.6,45.5,1970
"Reds",102,12,36,48,1970
"Royals",65,13.5,8.6,22.1,1970
"Senators",70,9.3,20.3,29.6,1970
"Tigers",79,15.8,9.3,25.1,1970
"Twins",98,21.5,25.6,47.1,1970
"White Sox",56,10.5,2.7,13.2,1970
"Yankees",93,15,22.5,37.5,1970
"Angels",76,13,10.3,23.3,1971
"Astros",79,20.6,13.3,33.9,1971
"Athletics",101,14.3,32.8,47.1,1971
"Braves",82,13,11.2,24.2,1971
"Brewers",69,9.4,12.6,22,1971
"Cardinals",90,14.3,24.3,38.6,1971
"Cubs",83,23,13.2,36.2,1971
"Dodgers",89,15.9,26.4,42.3,1971
"Expos",71,5.7,16.3,22,1971
"Giants",90,12.2,26.8,39,1971
"Indians",60,4.1,5.2,9.3,1971
"Mets",83,22.1,20.1,42.2,1971
"Orioles",101,17.3,39.3,56.6,1971
"Padres",61,14.1,6.1,20.2,1971
"Phillies",67,11.6,11.4,23,1971
"Pirates",97,13.2,37.3,50.5,1971
"Red Sox",85,16.4,24.1,40.5,1971
"Reds",79,8.7,23.8,32.5,1971
"Royals",85,19.1,15.4,34.5,1971
"Senators",63,5.7,7.3,13,1971
"Tigers",91,16.3,25.7,42,1971
"Twins",74,14.1,15.8,29.9,1971
"White Sox",79,26.9,13.9,40.8,1971
"Yankees",81,11.9,22.9,34.8,1971
"Angels",75,9.4,15.1,24.5,1972
"Astros",84,12.8,24.3,37.1,1972
"Athletics",93,14.2,29.9,44.1,1972
"Braves",70,7.8,18.7,26.5,1972
"Brewers",65,6.9,15.6,22.5,1972
"Cardinals",75,19.3,15.9,35.2,1972
"Cubs",85,21.5,19.5,41,1972
"Dodgers",85,17.5,25.9,43.4,1972
"Expos",70,14,9.6,23.6,1972
"Giants",69,8.5,23.1,31.6,1972
"Indians",72,10.9,11.2,22.1,1972
"Mets",83,17.3,7.3,24.6,1972
"Orioles",80,17,24.8,41.8,1972
"Padres",58,5.7,2.1,7.8,1972
"Phillies",59,15.4,9.5,24.9,1972
"Pirates",96,18.2,32.2,50.4,1972
"Rangers",54,7.2,1.4,8.6,1972
"Red Sox",85,17.2,18.5,35.7,1972
"Reds",95,9.2,35.5,44.7,1972
"Royals",76,17.5,22.1,39.6,1972
"Tigers",86,17.6,16.9,34.5,1972
"Twins",77,15.2,22.5,37.7,1972
"White Sox",87,19.8,10.1,29.9,1972
"Yankees",79,8.8,24.9,33.7,1972
"Angels",79,17.7,9.8,27.5,1973
"Astros",82,14.6,18.1,32.7,1973
"Athletics",94,9.6,36,45.6,1973
"Braves",76,13.2,29.8,43,1973
"Brewers",74,10.4,20,30.4,1973
"Cardinals",81,19.9,17.9,37.8,1973
"Cubs",77,22.1,4.2,26.3,1973
"Dodgers",95,16.6,27.6,44.2,1973
"Expos",79,10.6,22.6,33.2,1973
"Giants",88,13.1,25.8,38.9,1973
"Indians",71,9.6,9.3,18.9,1973
"Mets",82,19,12.4,31.4,1973
"Orioles",97,14.1,41.2,55.3,1973
"Padres",60,4.6,5.6,10.2,1973
"Phillies",71,13.3,10.8,24.1,1973
"Pirates",80,12.6,21.4,34,1973
"Rangers",57,7.7,5.5,13.2,1973
"Red Sox",89,16.7,28.3,45,1973
"Reds",99,9.4,31.4,40.8,1973
"Royals",88,15,15.1,30.1,1973
"Tigers",85,16.7,13.9,30.6,1973
"Twins",81,22.7,21.4,44.1,1973
"White Sox",77,18.9,7.6,26.5,1973
"Yankees",80,15.7,20.4,36.1,1973
"Angels",68,15.5,16.7,32.2,1974
"Astros",81,12.5,23.4,35.9,1974
"Athletics",90,23.7,26,49.7,1974
"Braves",88,25.3,19.3,44.6,1974
"Brewers",76,9.9,16,25.9,1974
"Cardinals",86,14,23.8,37.8,1974
"Cubs",66,18.1,-0.4,17.7,1974
"Dodgers",102,22.9,37.4,60.3,1974
"Expos",79,17.3,20.5,37.8,1974
"Giants",72,10.2,14.8,25,1974
"Indians",77,10.9,17.8,28.7,1974
"Mets",71,20.9,6.1,27,1974
"Orioles",91,16.7,26.6,43.3,1974
"Padres",60,3.9,0.8,4.7,1974
"Phillies",80,14.1,17.8,31.9,1974
"Pirates",88,17.5,28.1,45.6,1974
"Rangers",83,17.8,20.3,38.1,1974
"Red Sox",84,18.7,22.4,41.1,1974
"Reds",98,16.4,38.6,55,1974
"Royals",77,18.3,14.8,33.1,1974
"Tigers",72,11.7,6.5,18.2,1974
"Twins",82,20.5,19.7,40.2,1974
"White Sox",80,16.8,18,34.8,1974
"Yankees",89,17.9,21.6,39.5,1974
"Angels",72,15,7.1,22.1,1975
"Astros",64,6.5,18.1,24.6,1975
"Athletics",98,19.2,31.6,50.8,1975
"Braves",67,16,-2.3,13.7,1975
"Brewers",68,3.6,13.8,17.4,1975
"Cardinals",82,14.1,18.2,32.3,1975
"Cubs",75,14.6,8.2,22.8,1975
"Dodgers",88,20.6,31.1,51.7,1975
"Expos",75,11.9,10.9,22.8,1975
"Giants",80,13,13.1,26.1,1975
"Indians",79,12,19,31,1975
"Mets",82,17.9,18.6,36.5,1975
"Orioles",90,16.5,29.1,45.6,1975
"Padres",71,10.9,8.1,19,1975
"Phillies",86,16,32,48,1975
"Pirates",92,17.1,30.1,47.2,1975
"Rangers",79,13.9,16.9,30.8,1975
"Red Sox",95,14.8,29.4,44.2,1975
"Reds",108,11.9,43.2,55.1,1975
"Royals",91,18.1,22.6,40.7,1975
"Tigers",57,14.1,-0.4,13.7,1975
"Twins",76,11,21.7,32.7,1975
"White Sox",75,14.1,10.7,24.8,1975
"Yankees",83,19.5,23.3,42.8,1975
"Angels",76,16.9,9.2,26.1,1976
"Astros",80,7.1,22.7,29.8,1976
"Athletics",87,17.9,21.9,39.8,1976
"Braves",70,17.9,-0.7,17.2,1976
"Brewers",66,7.5,10,17.5,1976
"Cardinals",72,7.9,19.2,27.1,1976
"Cubs",75,16,5.9,21.9,1976
"Dodgers",92,14.3,25.1,39.4,1976
"Expos",55,8.5,3.3,11.8,1976
"Giants",74,15,6.9,21.9,1976
"Indians",81,21,14,35,1976
"Mets",86,23.4,21.5,44.9,1976
"Orioles",88,13.9,22.8,36.7,1976
"Padres",73,8,18.3,26.3,1976
"Phillies",101,22.8,32.4,55.2,1976
"Pirates",92,15.7,28.3,44,1976
"Rangers",76,13.5,15.6,29.1,1976
"Red Sox",83,15.7,22.3,38,1976
"Reds",102,14.6,45.9,60.5,1976
"Royals",90,15,25.3,40.3,1976
"Tigers",74,13,10.2,23.2,1976
"Twins",85,10.8,28.1,38.9,1976
"White Sox",64,11.9,8.7,20.6,1976
"Yankees",97,15,38.2,53.2,1976
"Angels",74,14.7,14.7,29.4,1977
"Astros",81,14.7,24.2,38.9,1977
"Athletics",63,11.7,5.6,17.3,1977
"Blue Jays",54,10.1,1.9,12,1977
"Braves",61,9.5,-6.6,2.9,1977
"Brewers",67,10.3,10.7,21,1977
"Cardinals",83,8.2,19,27.2,1977
"Cubs",81,24.6,5.9,30.5,1977
"Dodgers",98,23.1,29.1,52.2,1977
"Expos",75,10.8,21,31.8,1977
"Giants",75,15,13.4,28.4,1977
"Indians",71,18.5,14.3,32.8,1977
"Mariners",64,6.8,9.6,16.4,1977
"Mets",64,17.6,8.5,26.1,1977
"Orioles",97,15.2,26.4,41.6,1977
"Padres",69,1.7,17,18.7,1977
"Phillies",101,17.5,38.4,55.9,1977
"Pirates",96,16.8,27.5,44.3,1977
"Rangers",94,18.9,29.3,48.2,1977
"Red Sox",97,18.2,29.2,47.4,1977
"Reds",88,10,31.5,41.5,1977
"Royals",102,20.7,29.7,50.4,1977
"Tigers",74,16.1,13.5,29.6,1977
"Twins",84,11,23.7,34.7,1977
"White Sox",90,14.3,19,33.3,1977
"Yankees",100,16.1,37,53.1,1977
"Angels",87,13,17.1,30.1,1978
"Astros",74,14.5,17.1,31.6,1978
"Athletics",69,13.4,3.1,16.5,1978
"Blue Jays",59,8.3,3.7,12,1978
"Braves",69,12,4.5,16.5,1978
"Brewers",93,14.8,34.7,49.5,1978
"Cardinals",69,11.9,10.9,22.8,1978
"Cubs",79,13.2,12.2,25.4,1978
"Dodgers",95,18.1,33.4,51.5,1978
"Expos",76,5.7,26,31.7,1978
"Giants",89,19.3,17.9,37.2,1978
"Indians",69,15.9,13.4,29.3,1978
"Mariners",56,7,6.9,13.9,1978
"Mets",66,10.2,14.7,24.9,1978
"Orioles",90,16.8,27.7,44.5,1978
"Padres",84,17.6,16.7,34.3,1978
"Phillies",90,17.5,32,49.5,1978
"Pirates",88,17.6,18.1,35.7,1978
"Rangers",87,21.2,21.8,43,1978
"Red Sox",99,17.4,24.5,41.9,1978
"Reds",92,12.5,24.8,37.3,1978
"Royals",92,14.8,27.7,42.5,1978
"Tigers",86,14.9,24.5,39.4,1978
"Twins",73,17.4,19.8,37.2,1978
"White Sox",71,6.8,12.8,19.6,1978
"Yankees",100,20.2,27.8,48,1978
"Angels",88,15.1,24.9,40,1979
"Astros",89,17.1,18,35.1,1979
"Athletics",54,8,-9.7,-1.7,1979
"Blue Jays",53,7,2.9,9.9,1979
"Braves",66,15.9,2.8,18.7,1979
"Brewers",95,12.1,30.5,42.6,1979
"Cardinals",86,12.1,26.6,38.7,1979
"Cubs",80,18.9,12.2,31.1,1979
"Dodgers",79,16.2,26,42.2,1979
"Expos",95,15,26.8,41.8,1979
"Giants",71,5.8,9.8,15.6,1979
"Indians",81,14.7,12.9,27.6,1979
"Mariners",67,14.7,16.2,30.9,1979
"Mets",63,10.3,9.2,19.5,1979
"Orioles",102,19.1,32.1,51.2,1979
"Padres",68,11.4,15,26.4,1979
"Phillies",84,13,29.2,42.2,1979
"Pirates",98,17.7,25.5,43.2,1979
"Rangers",83,15.4,24.8,40.2,1979
"Red Sox",91,20.4,28.1,48.5,1979
"Reds",90,17.6,26.6,44.2,1979
"Royals",85,7.6,27.4,35,1979
"Tigers",84,12.9,19.2,32.1,1979
"Twins",82,19.8,16.4,36.2,1979
"White Sox",73,12.5,19.2,31.7,1979
"Yankees",89,20.7,19.7,40.4,1979
"Angels",65,9.8,10.4,20.2,1980
"Astros",93,21.6,24.2,45.8,1980
"Athletics",83,13.7,27.4,41.1,1980
"Blue Jays",67,10.1,6.8,16.9,1980
"Braves",81,13.3,12.9,26.2,1980
"Brewers",86,10.2,32.4,42.6,1980
"Cardinals",74,10,27,37,1980
"Cubs",64,14.4,3,17.4,1980
"Dodgers",92,15.6,26.9,42.5,1980
"Expos",90,16,23.1,39.1,1980
"Giants",75,12,8.8,20.8,1980
"Indians",79,13.9,16.3,30.2,1980
"Mariners",59,13.9,1.7,15.6,1980
"Mets",67,7.3,9.8,17.1,1980
"Orioles",100,15.5,31.5,47,1980
"Padres",73,9.2,20.9,30.1,1980
"Phillies",91,20.2,25.3,45.5,1980
"Pirates",83,16.9,20.8,37.7,1980
"Rangers",76,17.1,16.4,33.5,1980
"Red Sox",83,15.8,24.7,40.5,1980
"Reds",89,13.5,24.3,37.8,1980
"Royals",97,12.6,30.1,42.7,1980
"Tigers",84,13.9,22.1,36,1980
"Twins",77,18,12.4,30.4,1980
"White Sox",70,13.8,6.1,19.9,1980
"Yankees",103,23.4,28.6,52,1980
"Angels",51,7.7,16.3,24,1981
"Astros",61,15.6,17.4,33,1981
"Athletics",64,8.6,20.3,28.9,1981
"Blue Jays",37,7.9,-1.9,6,1981
"Braves",50,10.8,7.9,18.7,1981
"Brewers",62,7.7,14.9,22.6,1981
"Cardinals",59,7.9,20.3,28.2,1981
"Cubs",38,8.1,-2.2,5.9,1981
"Dodgers",63,14.6,16.8,31.4,1981
"Expos",60,12.5,17.9,30.4,1981
"Giants",56,7.4,12.7,20.1,1981
"Indians",52,14.7,3.8,18.5,1981
"Mariners",44,12.8,8.2,21,1981
"Mets",41,4.6,8.6,13.2,1981
"Orioles",59,6.8,13.9,20.7,1981
"Padres",41,4.2,9.4,13.6,1981
"Phillies",59,9.4,17.7,27.1,1981
"Pirates",46,8.4,8.1,16.5,1981
"Rangers",57,9.6,15.6,25.2,1981
"Red Sox",59,7.6,17.9,25.5,1981
"Reds",66,8.5,18.2,26.7,1981
"Royals",50,8.4,13,21.4,1981
"Tigers",60,8.6,19.2,27.8,1981
"Twins",41,8.3,-1.3,7,1981
"White Sox",54,9.4,16.5,25.9,1981
"Yankees",59,15.6,18.2,33.8,1981
"Angels",93,19.4,34.1,53.5,1982
"Astros",77,14.9,14.2,29.1,1982
"Athletics",68,3.6,12.7,16.3,1982
"Blue Jays",78,17.5,7.2,24.7,1982
"Braves",89,13.7,17.8,31.5,1982
"Brewers",95,11.2,35.9,47.1,1982
"Cardinals",92,10.8,27.5,38.3,1982
"Cubs",73,13,12.5,25.5,1982
"Dodgers",88,22,26.6,48.6,1982
"Expos",86,18.8,28.1,46.9,1982
"Giants",87,11.3,18.1,29.4,1982
"Indians",78,20.4,13.9,34.3,1982
"Mariners",76,21.2,7.2,28.4,1982
"Mets",65,6.3,7,13.3,1982
"Orioles",94,15,30.5,45.5,1982
"Padres",81,6.2,23.8,30,1982
"Phillies",89,22.7,19,41.7,1982
"Pirates",84,13.6,27.7,41.3,1982
"Rangers",64,13.2,3.7,16.9,1982
"Red Sox",89,14.7,18.2,32.9,1982
"Reds",61,17,6,23,1982
"Royals",90,7.7,30.1,37.8,1982
"Tigers",83,11.2,27.9,39.1,1982
"Twins",60,0.9,15.2,16.1,1982
"White Sox",87,22.4,17.8,40.2,1982
"Yankees",79,24.1,11.7,35.8,1982
"Angels",70,15.7,12,27.7,1983
"Astros",85,12.6,25.4,38,1983
"Athletics",74,7,19.9,26.9,1983
"Blue Jays",89,14.1,28.5,42.6,1983
"Braves",88,14.8,22.1,36.9,1983
"Brewers",87,10.2,24.5,34.7,1983
"Cardinals",79,8.1,26.3,34.4,1983
"Cubs",71,16,15.2,31.2,1983
"Dodgers",91,21.2,19.8,41,1983
"Expos",82,16.4,29,45.4,1983
"Giants",79,11.7,18.3,30,1983
"Indians",70,15.7,9.7,25.4,1983
"Mariners",60,16.1,-0.2,15.9,1983
"Mets",68,7.8,9,16.8,1983
"Orioles",98,17.3,28,45.3,1983
"Padres",81,9.1,16.7,25.8,1983
"Phillies",90,23.8,13.7,37.5,1983
"Pirates",84,19.5,18.7,38.2,1983
"Rangers",77,22.1,13.5,35.6,1983
"Red Sox",78,10.9,16.9,27.8,1983
"Reds",74,9.8,13.6,23.4,1983
"Royals",79,9.8,15.1,24.9,1983
"Tigers",92,13.5,34.3,47.8,1983
"Twins",70,6.6,14.7,21.3,1983
"White Sox",99,20.6,25.8,46.4,1983
"Yankees",91,22.1,24.1,46.2,1983
"Angels",81,16.5,15,31.5,1984
"Astros",80,13.5,21.9,35.4,1984
"Athletics",77,5.3,21.1,26.4,1984
"Blue Jays",89,15.8,24.9,40.7,1984
"Braves",80,14.3,13.1,27.4,1984
"Brewers",67,12.7,7.9,20.6,1984
"Cardinals",84,12.1,19.9,32,1984
"Cubs",96,21.2,21.3,42.5,1984
"Dodgers",79,22,11.7,33.7,1984
"Expos",78,13.2,23.6,36.8,1984
"Giants",66,6.3,15.5,21.8,1984
"Indians",75,13.4,17.1,30.5,1984
"Mariners",74,16.5,9.1,25.6,1984
"Mets",90,13.7,19.4,33.1,1984
"Orioles",85,13.1,24.7,37.8,1984
"Padres",92,7.7,24.9,32.6,1984
"Phillies",81,16.4,30.5,46.9,1984
"Pirates",75,19.6,17.3,36.9,1984
"Rangers",69,13,8.2,21.2,1984
"Red Sox",86,15.5,24.8,40.3,1984
"Reds",70,10.1,8.4,18.5,1984
"Royals",84,14.1,21.1,35.2,1984
"Tigers",104,19.5,35.5,55,1984
"Twins",81,10.8,20,30.8,1984
"White Sox",74,14.2,15.4,29.6,1984
"Yankees",87,21.6,21.6,43.2,1984
"Angels",90,13.7,21.8,35.5,1985
"Astros",83,9.5,22.8,32.3,1985
"Athletics",77,7.2,21.3,28.5,1985
"Blue Jays",99,17,27.5,44.5,1985
"Braves",66,6,8.9,14.9,1985
"Brewers",71,7.8,9.2,17,1985
"Cardinals",101,17.2,34.3,51.5,1985
"Cubs",77,12,18.2,30.2,1985
"Dodgers",95,20.7,28.3,49,1985
"Expos",84,17.2,19,36.2,1985
"Giants",62,14.2,7.9,22.1,1985
"Indians",60,7.3,7.5,14.8,1985
"Mariners",74,13.6,17,30.6,1985
"Mets",98,20.1,25,45.1,1985
"Orioles",83,10.9,25.3,36.2,1985
"Padres",83,14.1,20.4,34.5,1985
"Phillies",75,11.6,14,25.6,1985
"Pirates",57,15.6,8.2,23.8,1985
"Rangers",62,10.9,9.4,20.3,1985
"Red Sox",81,18.6,27.1,45.7,1985
"Reds",89,14.5,20.7,35.2,1985
"Royals",91,24.8,13.1,37.9,1985
"Tigers",84,19,24.6,43.6,1985
"Twins",77,13.4,19.5,32.9,1985
"White Sox",85,17.2,9.8,27,1985
"Yankees",97,17.5,32.5,50,1985
"Angels",92,20.8,29.5,50.3,1986
"Astros",96,17.8,25.5,43.3,1986
"Athletics",76,8.1,23.1,31.2,1986
"Blue Jays",86,19.3,22.8,42.1,1986
"Braves",72,16.2,7.4,23.6,1986
"Brewers",77,17.1,6.8,23.9,1986
"Cardinals",79,8.8,19,27.8,1986
"Cubs",70,15.3,9.9,25.2,1986
"Dodgers",73,17.5,11.4,28.9,1986
"Expos",78,15.7,18.3,34,1986
"Giants",83,13.5,26.3,39.8,1986
"Indians",84,7.2,20.5,27.7,1986
"Mariners",67,15.3,4.1,19.4,1986
"Mets",108,20.8,33.3,54.1,1986
"Orioles",73,14.5,17.1,31.6,1986
"Padres",74,7.6,16.9,24.5,1986
"Phillies",86,11.1,20.9,32,1986
"Pirates",64,10.1,20.6,30.7,1986
"Rangers",87,12.7,20.2,32.9,1986
"Red Sox",95,18.7,21.6,40.3,1986
"Reds",86,15.2,17.6,32.8,1986
"Royals",76,19.8,11.3,31.1,1986
"Tigers",87,10.3,32.8,43.1,1986
"Twins",71,9.9,15.5,25.4,1986
"White Sox",72,15.5,10.4,25.9,1986
"Yankees",90,13,30.6,43.6,1986
"Angels",75,13.5,19.3,32.8,1987
"Astros",76,18.3,11.9,30.2,1987
"Athletics",81,16.2,20.7,36.9,1987
"Blue Jays",96,21.1,27.8,48.9,1987
"Braves",69,9.8,13.7,23.5,1987
"Brewers",91,19.9,17.8,37.7,1987
"Cardinals",95,14.3,22.1,36.4,1987
"Cubs",76,14.8,11.2,26,1987
"Dodgers",73,18,7.5,25.5,1987
"Expos",91,18.7,16.1,34.8,1987
"Giants",90,16,26.1,42.1,1987
"Indians",61,4.3,10.6,14.9,1987
"Mariners",78,18.2,16.1,34.3,1987
"Mets",92,17.4,30.8,48.2,1987
"Orioles",67,8,14,22,1987
"Padres",65,8.3,20.4,28.7,1987
"Phillies",80,8.5,19.6,28.1,1987
"Pirates",80,12.8,26.7,39.5,1987
"Rangers",75,9.2,14.3,23.5,1987
"Red Sox",78,15.9,21.3,37.2,1987
"Reds",84,14.7,21.1,35.8,1987
"Royals",83,20.9,14.5,35.4,1987
"Tigers",98,18.3,30.4,48.7,1987
"Twins",85,11.5,15.4,26.9,1987
"White Sox",77,9.3,23,32.3,1987
"Yankees",89,14.6,21.6,36.2,1987
"Angels",75,13.1,15.4,28.5,1988
"Astros",82,11.2,15.4,26.6,1988
"Athletics",104,17.6,31.4,49,1988
"Blue Jays",87,10.8,29,39.8,1988
"Braves",54,11,1.5,12.5,1988
"Brewers",87,17.9,15.9,33.8,1988
"Cardinals",76,15.4,14.2,29.6,1988
"Cubs",77,14.4,16.1,30.5,1988
"Dodgers",94,19.7,20,39.7,1988
"Expos",81,11.7,23.5,35.2,1988
"Giants",83,16.3,25.3,41.6,1988
"Indians",78,18.9,9.2,28.1,1988
"Mariners",68,17.1,14.2,31.3,1988
"Mets",100,25.6,29.9,55.5,1988
"Orioles",54,6.3,7.1,13.4,1988
"Padres",83,16,21.2,37.2,1988
"Phillies",65,5,9.2,14.2,1988
"Pirates",85,11.7,25.6,37.3,1988
"Rangers",70,10.9,16.3,27.2,1988
"Red Sox",89,18.7,31.7,50.4,1988
"Reds",87,13.8,24.8,38.6,1988
"Royals",84,19.3,16.9,36.2,1988
"Tigers",88,14.4,22.5,36.9,1988
"Twins",91,15.7,26.4,42.1,1988
"White Sox",71,7.9,9.6,17.5,1988
"Yankees",85,10.9,20.7,31.6,1988
"Angels",91,20.1,22.2,42.3,1989
"Astros",86,10.8,19.7,30.5,1989
"Athletics",99,16.5,27.4,43.9,1989
"Blue Jays",89,22.2,21.9,44.1,1989
"Braves",63,19,8.8,27.8,1989
"Brewers",81,12.7,13.7,26.4,1989
"Cardinals",86,16.4,29.7,46.1,1989
"Cubs",93,16.1,20.4,36.5,1989
"Dodgers",77,19.6,14,33.6,1989
"Expos",81,15.3,17.7,33,1989
"Giants",92,10.1,31,41.1,1989
"Indians",73,18.8,9.7,28.5,1989
"Mariners",73,16.7,15.9,32.6,1989
"Mets",87,16.7,29,45.7,1989
"Orioles",87,9.5,21.9,31.4,1989
