"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"7994","NL",1899,"herrile01",6,0.15,5523000,1.05,18229.011206153
"7995","AL",1920,"baumgha01",54,0.17,8930000,1.19,18226.8845562932
"7996","NL",1955,"edelmjo01",17,-0.15,16085000,-1.05,18220.385574751
"7997","AL",1945,"carneed01",6,0.09,11860000,0.63,18219.926975261
"7998","NL",1914,"fahrepe01",24,0.17,8702000,1.19,18218.0479664586
"7999","AL",1927,"wrighji01",36,0.14,9623000,0.98,18215.7471463433
"8000","NL",1930,"waltebe01",3,0.05,9920000,0.35,18198.3993426753
"8001","NL",1911,"zmiched01",38,0.21,8588000,1.47,18182.1676309728
"8002","NL",1899,"johnsyo01",6,0.14,5523000,0.98,18181.2457446558
"8003","NL",1905,"mcdousa01",134,0.22,7065000,1.54,18158.2159779229
"8004","AL",1907,"barryed01",52,0.25,7659000,1.75,18157.4775292199
"8005","NL",1909,"chappbi01",99,0.23,8253000,1.61,18157.2049031297
"8006","NL",1906,"whitije01",74,0.23,7362000,1.61,18155.4188218064
"8007","NL",1955,"wooldfl01",173,-0.15,16085000,-1.05,18147.0650353151
"8008","AL",1949,"bilbrji01",3,-0.06,12444000,-0.42,18137.6187340522
"8009","NL",1922,"yeargal01",21,0.17,9128000,1.19,18135.1281860073
"8010","NL",1934,"barneju01",1,0.04,10404000,0.28,18134.4574868971
"8011","AL",1932,"michajo02",242,0.09,10162000,0.63,18133.8719672688
"8012","AL",1928,"willial01",6,0.08,9722000,0.56,18131.0947996914
"8013","NL",1990,"wellste01",62,-0.98,40680000,-6.86,18125.7450555664
"8014","NL",1884,"knighjo01",153,-0.99,4644000,-6.93,18124.4436604125
"8015","NL",1890,"lincoez01",354,-1.24,5010000,-8.68,18120.4183980385
"8016","AL",1929,"estraos01",3,0.08,9821000,0.56,18113.9315965926
"8017","NL",1910,"moorege02",52,0.28,8550000,1.96,18098.130344356
"8018","AL",1944,"johnsjo03",80,-0.09,11714000,-0.63,18089.5348247838
"8019","AL",1922,"blankho01",39,0.16,9128000,1.12,18063.5227807288
"8020","NL",1966,"churcle01",18,-0.66,23492000,-4.62,18062.8900610945
"8021","AL",1943,"speerfl01",3,-0.03,11568000,-0.21,18056.6544590806
"8022","AL",1926,"steenmi01",115,0.16,9524000,1.12,18055.1973275092
"8023","NL",1891,"nicolge01",33,-0.75,5067000,-5.25,18054.4432482508
"8024","NL",1918,"weaveha01",98,0.18,8854000,1.26,18039.1946356446
"8025","AL",1917,"pennike01",3,0.07,8816000,0.49,18030.0241940994
"8026","NL",1970,"behneme01",30,-0.4,26100000,-2.8,18021.4596432992
"8027","AL",1901,"prentge01",30,0.23,5877000,1.61,18015.6690750347
"8028","NL",1963,"cardico01",40,-0.51,21536000,-3.57,18010.3151530756
"8029","NL",1913,"watsodo01",27,0.25,8664000,1.75,18008.8795399346
"8030","AL",1916,"thomacl01",85,0.07,8778000,0.49,18000.677874384
"8031","AL",1911,"hagemca01",51,0.19,8588000,1.33,17996.0806336112
"8032","NL",1923,"wiginfr01",25,0.11,9227000,0.77,17995.794414241
"8033","NL",1943,"webbbi02",3,-0.03,11568000,-0.21,17986.9669802929
"8034","AL",1920,"glaisjo01",44,0.16,8930000,1.12,17968.0681981479
"8035","NL",1944,"frankja01",6,-0.09,11714000,-0.63,17953.9267280929
"8036","AL",1939,"lefebbi01",79,0.1,11009000,0.7,17951.1544191089
"8037","NL",1917,"durniri01",3,0.07,8816000,0.49,17946.7907089736
"8038","AL",1940,"smithcl01",85,0.09,11130000,0.63,17935.592420942
"8039","AL",1906,"wilsowi01",21,0.21,7362000,1.47,17926.729244903
"8040","AL",1963,"dustabo01",18,-0.54,21536000,-3.78,17926.270209155
"8041","AL",1931,"bowlegr01",106,0.05,10041000,0.35,17920.9398380653
"8042","AL",1936,"kardopa01",6,0.04,10646000,0.28,17918.5347236258
"8043","NL",1908,"savidra01",63,0.09,7956000,0.63,17912.7848645516
"8044","NL",1924,"shielvi01",36,0.21,9326000,1.47,17910.3078898662
"8045","NL",1895,"gettito01",19,-0.08,5295000,-0.56,17906.221723412
