"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"1","AL",2000,"martipe02",651,11.71,64060000,81.97,1388199645.21954
"2","AL",2009,"greinza01",688,10.4,74977000,72.8,1199957844.56271
"3","NL",1985,"goodedw01",830,12.18,38525000,85.26,1121563592.64063
"4","AL",1997,"clemero02",792,11.93,57046000,83.51,895051555.921878
"5","NL",1980,"carltst01",912,10.22,36370000,71.54,721491459.654137
"6","AL",1913,"johnswa01",1039,15.07,8664000,105.49,633635794.039334
"7","NL",2002,"johnsra05",780,10.74,66486000,75.18,591757902.487601
"8","AL",1989,"saberbr01",787,9.65,40249000,67.55,561469931.633515
"9","AL",1945,"newhoha01",940,11.25,11860000,78.75,387527525.214119
"10","NL",1968,"gibsobo01",914,11.23,24796000,78.61,386628354.740161
"11","AL",1931,"grovele01",866,10.39,10041000,72.73,366873773.039523
"12","AL",2012,"verlaju01",715,8.08,80552000,56.56,358497512.645623
"13","NL",1889,"clarkjo01",1860,16.69,4949000,116.83,309894302.619762
"14","NL",1994,"maddugr01",606,8.49,50032000,59.43,287396637.084202
"15","AL",1976,"fidryma01",751,9.57,32262000,66.99,272866079.741753
"16","NL",1892,"youngcy01",1359,13.92,5124000,97.44,272003740.041152
"17","AL",1921,"faberre01",992,11.29,9029000,79.03,245384006.919381
"18","NL",1965,"maricju01",886,10.3,22840000,72.1,228060512.208176
"19","NL",1920,"alexape01",1090,11.87,8930000,83.09,216153395.350093
"20","NL",1928,"vanceda01",844,10.12,9722000,70.84,200435768.123634
"21","AL",2017,"klubeco01",611,8.14,91457000,56.98,198524733.735337
"22","NL",2010,"hallaro01",752,8.55,76190000,59.85,187889863.930923
"23","NL",2018,"nolaaa01",637,10.46,93638000,73.22,174808238.631021
"24","AL",1940,"fellebo01",961,9.92,11130000,69.44,171293099.625181
"25","NL",1938,"leebi02",876,7.99,10888000,55.93,164693293.254638
"26","AL",1971,"woodwi01",1002,11.74,27127000,82.18,160699935.653899
"27","NL",1923,"luquedo01",966,10.55,9227000,73.85,148685531.975315
"28","AL",1964,"chancde01",835,9.38,22188000,65.66,133667622.611445
"29","NL",2013,"kershcl01",708,7.99,82733000,55.93,125779232.334578
"30","NL",1942,"coopemo01",836,8.24,11422000,57.68,120406331.008917
"31","NL",1894,"rusieam01",1332,13.74,5238000,96.18,112910157.720283
"32","AL",1917,"cicoted01",1040,11.41,8816000,79.87,108725365.472218
"33","NL",1897,"nichoki01",1104,10.69,5409000,74.83,102746346.151999
"34","NL",1967,"bunniji01",907,7.82,24144000,54.74,102573024.798211
"35","NL",2008,"linceti01",681,7.83,73764000,54.81,99432686.8863696
"36","NL",1954,"roberro01",1010,9.04,15386000,63.28,90818135.3618453
"37","NL",1966,"koufasa01",969,10.28,23492000,71.96,90782631.8922653
"38","AL",1944,"troutdi01",1057,9.25,11714000,64.75,71793918.5860266
"39","AL",2006,"santajo01",701,7.59,71338000,53.13,71258986.6849381
"40","NL",1880,"mccorji01",1973,10.47,4400000,73.29,63976455.7061204
"41","AL",1996,"hentgpa01",797,8.55,54708000,59.85,63181974.8193555
"42","NL",1973,"seaveto01",870,10.61,29181000,74.27,62505670.071289
"43","NL",1908,"mathech01",1173,11.74,7956000,82.18,57040859.1893389
"44","NL",1903,"mcginjo01",1302,11.65,6471000,81.55,55698959.8223675
"45","AL",1984,"stiebda01",801,7.93,38094000,55.51,54897311.871394
"46","NL",1991,"glavito02",740,8.52,43018000,59.64,47334165.0642735
"47","NL",1888,"buffich01",1201,12.1,4888000,84.7,45661263.2767055
"48","AL",1949,"parneme01",886,7.98,12444000,55.86,40716154.2795056
"49","NL",1883,"radboch01",1897,13.09,4583000,91.63,39752877.0141837
"50","NL",1998,"brownke01",771,8.57,59384000,59.99,37913079.9456359
"51","AL",1986,"higuete01",745,9.38,38956000,65.66,37422211.4766805
"52","AL",1955,"piercbi02",617,6.96,16085000,48.72,34744975.9170707
"53","NL",1977,"reuscri01",756,9.46,33289000,66.22,30921224.9452752
"54","NL",1983,"dennyjo01",728,7.42,37663000,51.94,28499359.0971166
"55","NL",1974,"matlajo01",796,9.05,30208000,63.35,28459828.4428478
"56","NL",1899,"willivi01",1028,10.34,5523000,72.38,25766721.9128473
"57","NL",1884,"galvipu01",1909,20.48,4644000,143.36,24748711.2968937
"58","NL",1978,"niekrph01",1003,9.98,34316000,69.86,20295231.1664185
"59","AL",1943,"chandsp01",759,6.42,11568000,44.94,18769123.8448988
"60","AL",1956,"wynnea01",833,7.83,16784000,54.81,18699167.6193859
"61","AL",1927,"thomato02",923,8.32,9623000,58.24,13396502.3187807
"62","AL",1958,"laryfr01",781,6.67,18182000,46.69,12663973.5981074
"63","AL",1952,"shantbo01",839,8.83,13988000,61.81,11994085.8038591
"64","NL",2007,"oswalro01",636,6.66,72551000,46.62,11969855.4884153
"65","AL",1926,"uhlege01",955,8.85,9524000,61.95,11741170.4830774
"66","NL",1933,"hubbeca01",926,8.9,10283000,62.3,9743540.83264335
"67","AL",1975,"palmeji01",969,8.44,31235000,59.08,9073362.5720745
"68","NL",1934,"deandi01",935,8.92,10404000,62.44,8131434.26750301
"69","AL",1941,"leeth01",901,8.6,11276000,60.2,7764431.30769656
"70","AL",2019,"minormi01",625,7.78,95819000,54.46,7518833.72073032
"71","NL",2018,"degroja01",651,9.58,93638000,67.06,7438062.00088591
"72","NL",2017,"scherma01",602,7.18,91457000,50.26,7296610.49473939
"73","NL",2015,"arrieja01",687,8.29,87095000,58.03,6988184.65781099
"74","AL",2013,"iwakuhi01",659,7.22,82733000,50.54,6692498.09194636
"75","AL",2012,"priceda01",633,6.63,80552000,46.41,6540126.51861993
"76","NL",2010,"jimenub01",665,7.53,76190000,52.71,6233655.57530193
"77","AL",2007,"beckejo02",602,6.5,72551000,45.5,5886383.08124777
"78","NL",2006,"webbbr01",705,7,71338000,49,5864648.54404237
"79","NL",2005,"willido03",709,7.29,70125000,51.03,5684945.49011149
"80","NL",2002,"schilcu01",778,8.6,66486000,60.2,5542891.60348765
"81","AL",1993,"appieke01",716,9.27,47694000,64.89,4965325.53011563
"82","AL",1959,"pascuca02",716,7.81,18881000,54.67,4644263.40205773
"83","AL",1911,"walshed01",1106,9.16,8588000,64.12,4581043.18530243
"84","NL",1948,"brechha01",700,8.74,12298000,61.18,4501382.64018163
"85","AL",1994,"coneda01",515,6.87,50032000,48.09,4337967.42277968
"86","AL",2019,"lynnla01",625,7.61,95819000,53.27,4166859.83623132
"87","NL",1993,"rijojo01",772,9.2,47694000,64.4,4144086.35988205
"88","NL",2017,"gonzagi01",603,6.49,91457000,45.43,4002773.72669283
"89","AL",1962,"aguirha01",648,7.4,20884000,51.8,3791957.66002074
"90","AL",1988,"gubicma01",809,7.74,39818000,54.18,3775256.08175167
"91","NL",2014,"cuetojo01",731,6.78,84914000,47.46,3765490.11134346
"92","NL",2013,"leecl02",668,6.75,82733000,47.25,3671833.29847131
"93","AL",1990,"finlech01",708,7.69,40680000,53.83,3629240.26627103
"94","NL",1989,"hershor01",770,6.98,40249000,48.86,3596066.07952415
"95","AL",1987,"violafr01",755,8.1,39387000,56.7,3529573.24428493
"96","AL",1981,"blylebe01",478,5.58,36801000,39.06,3526233.96450863
"97","NL",1985,"tudorjo01",825,8.1,38525000,56.7,3462880.29469487
"98","AL",2010,"hernafe02",749,7.15,76190000,50.05,3411555.89688364
"99","NL",1982,"rogerst01",831,7.63,37232000,53.41,3358572.46433595
"100","NL",2008,"dempsry01",620,6.88,73764000,48.16,3304949.9193504
"101","AL",1980,"burnsbr01",714,6.97,36370000,48.79,3295233.98029312
"102","NL",2006,"arroybr01",722,6.81,71338000,47.67,3235961.8483845
"103","AL",1910,"fordru01",899,11.39,8550000,79.73,3233103.8640254
"104","AL",1929,"hudliwi01",841,7.51,9821000,52.57,3144183.16596426
"105","AL",1978,"guidrro01",821,9.58,34316000,67.06,3123505.26177471
"106","NL",1961,"cardwdo01",778,6.08,20232000,42.56,3098848.47088251
"107","AL",2003,"hudsoti01",720,7.45,67699000,52.15,3097396.67524393
"108","AL",1979,"koosmje01",791,7.2,35343000,50.4,3041932.85828985
"109","AL",2001,"mussimi01",686,7.12,65273000,49.84,3001471.22128451
"110","AL",1976,"bluevi01",895,7.61,32262000,53.27,2971760.31150878
"111","NL",1891,"hutchbi01",1683,10.07,5067000,70.49,2958684.93701708
"112","NL",2018,"freelky01",607,8.44,93638000,59.08,2885917.75215138
"113","AL",1904,"wadderu01",1149,10.65,6768000,74.55,2863225.66912996
"114","NL",1999,"hamptmi01",717,6.68,61722000,46.76,2860168.43251271
"115","AL",1975,"gossari01",425,8.2,31235000,57.4,2814066.28493495
"116","AL",1974,"perryga01",967,8.52,30208000,59.64,2796745.36790058
"117","AL",1998,"rogerke01",716,7.52,59384000,52.64,2761393.50296509
"118","NL",2017,"strasst01",526,6.35,91457000,44.45,2669612.9434039
"119","AL",1997,"pettian01",721,8.36,57046000,58.52,2664719.00225972
"120","NL",2014,"hamelco01",614,6.64,84914000,46.48,2648693.38057554
"121","AL",2013,"salech01",643,6.53,82733000,45.71,2583549.4684693
"122","AL",2012,"harrima01",640,5.82,80552000,40.74,2532434.98924443
"123","NL",1960,"brogler01",679,7.09,19580000,49.63,2495975.69375321
"124","AL",2011,"weaveje02",707,6.92,78371000,48.44,2477412.30680944
"125","AL",1970,"mcdowsa01",915,8.29,26100000,58.03,2465074.89495414
"126","NL",1969,"dierkla01",916,8.64,25448000,60.48,2422086.62124784
"127","AL",1957,"sullifr01",722,6.35,17483000,44.45,2419763.01199802
"128","NL",2010,"johnsjo09",551,7,76190000,49,2415326.0645166
"129","AL",1968,"tiantlu01",775,8.49,24796000,59.43,2368490.36145351
"130","AL",1967,"merriji01",683,6.54,24144000,45.78,2314706.16693781
"131","AL",2019,"colege01",637,6.91,95819000,48.37,2297160.45240575
"132","AL",1993,"langsma01",769,8.52,47694000,59.64,2289109.02424234
"133","AL",2006,"wangch01",654,6.05,71338000,42.35,2284527.32911511
"134","AL",2007,"lackejo01",672,6.26,72551000,43.82,2283546.79937492
"135","NL",1881,"derbyge01",1484,8.72,4461000,61.04,2262242.55341506
"136","AL",2018,"snellbl01",542,7.43,93638000,52.01,2253863.56875346
"137","NL",2004,"sheetbe01",711,7.21,68912000,50.47,2214671.52261711
"138","NL",2003,"priorma01",634,7.41,67699000,51.87,2173474.14544152
"139","NL",1950,"blackew01",783,7.5,12590000,52.5,2158414.59436549
"140","NL",1964,"drysddo01",964,7.82,22188000,54.74,2152117.64190762
"141","NL",2016,"roarkta01",630,5.6,89276000,39.2,2122048.69615751
"142","AL",2015,"keuchda01",696,6.69,87095000,46.83,2114848.05526082
"143","AL",2001,"maysjo01",701,6.61,65273000,46.27,2112564.11378569
"144","AL",2002,"lowede01",659,7.24,66486000,50.68,2102258.13551173
"145","NL",1963,"ellswdi01",872,10.24,21536000,71.68,2094266.4098849
"146","AL",1991,"abbotji01",729,7.56,43018000,52.92,2088536.98033528
"147","NL",1962,"purkebo01",865,7.25,20884000,50.75,1995252.54599816
"148","NL",1990,"whitsed01",686,6.97,40680000,48.79,1994278.48129435
"149","AL",1999,"radkebr01",656,6.57,61722000,45.99,1992963.14972342
"150","AL",1961,"kralija01",726,5.96,20232000,41.72,1957318.25762877
"151","NL",1986,"scottmi03",826,8.37,38956000,58.59,1918557.47351009
"152","AL",1984,"alexado01",785,6.1,38094000,42.7,1886760.67387466
"153","NL",2010,"wainwad01",691,6.15,76190000,43.05,1883324.20069958
"154","NL",1989,"hurstbr01",734,6.48,40249000,45.36,1877214.37907567
"155","NL",1983,"sotoma01",821,6.77,37663000,47.39,1867178.7158204
"156","AL",2008,"danksjo01",585,6.38,73764000,44.66,1831894.19049854
"157","NL",1981,"valenfe01",577,4.76,36801000,33.32,1831421.42446146
"158","AL",1959,"wilheho01",678,7.61,18881000,53.27,1821364.88985662
"159","NL",1996,"smoltjo01",761,7.35,54708000,51.45,1807352.86596973
"160","NL",1980,"suttodo01",637,6.25,36370000,43.75,1807328.84055234
"161","AL",2007,"vazquja01",650,6.22,72551000,43.54,1776086.26484979
"162","NL",2016,"lestejo01",608,5.58,89276000,39.06,1771908.61758627
"163","NL",2009,"jurrjja01",645,6.53,74977000,45.71,1764010.7622368
"164","AL",1979,"eckerde01",740,7.15,35343000,50.05,1761451.79319276
"165","AL",1978,"caldwmi01",880,8.2,34316000,57.4,1724303.27791967
"166","NL",2004,"schmija01",675,6.77,68912000,47.39,1719398.95512993
"167","AL",2003,"loaizes01",679,7.18,67699000,50.26,1702832.5757889
"168","AL",1956,"scorehe01",748,7.27,16784000,50.89,1683750.89364713
"169","AL",1977,"tananfr01",724,8.27,33289000,57.89,1676344.14104864
"170","AL",2002,"zitoba01",688,7.2,66486000,50.4,1666364.9238192
"171","NL",2013,"fernajo02",518,6.31,82733000,44.17,1665983.88188395
"172","AL",2001,"buehrma01",664,6,65273000,42,1646977.91139578
"173","AL",2019,"rodried05",610,5.97,95819000,41.79,1615433.61033293
"174","AL",2012,"kurodhi01",659,5.27,80552000,36.89,1607528.61338962
"175","AL",1999,"moyerja01",684,6.5,61722000,45.5,1570394.93395825
"176","AL",1975,"hunteca01",984,8.06,31235000,56.42,1570313.43849461
"177","NL",1954,"antonjo02",776,7.54,15386000,52.78,1564864.61036041
"178","AL",2011,"romerri01",675,6.43,78371000,45.01,1531506.34308226
"179","NL",2009,"harenda01",688,6.52,74977000,45.64,1519089.47873895
"180","NL",1886,"baldwla01",1461,10.75,4766000,75.25,1513634.99244362
"181","NL",1953,"spahnwa01",797,8.83,14687000,61.81,1503150.75305449
"182","AL",1973,"hillejo01",376,7.86,29181000,55.02,1499433.94227155
"183","NL",2004,"zambrca01",629,6.65,68912000,46.55,1426522.0548371
"184","AL",2007,"carmofa01",645,6.19,72551000,43.33,1420233.05969058
"185","NL",2019,"flaheja01",589,5.87,95819000,41.09,1414688.15042272
"186","NL",1971,"jenkife01",975,10.1,27127000,70.7,1404389.12354989
"187","AL",2002,"colonba01",700,7.1,66486000,49.7,1379191.04323061
"188","AL",1987,"keyji01",783,7.37,39387000,51.59,1366914.74595742
"189","AL",2017,"carraca01",600,5.47,91457000,38.29,1361111.81109177
"190","AL",1986,"eichhma01",471,7.25,38956000,50.75,1356099.84153653
"191","AL",2016,"quintjo01",624,5.41,89276000,37.87,1330306.76502976
"192","AL",1925,"pennohe01",831,6.55,9425000,45.85,1327703.24390529
"193","NL",1969,"handsbi01",900,8.39,25448000,58.73,1319291.43923265
"194","AL",1983,"quiseda01",417,5.48,37663000,38.36,1317207.45490598
"195","NL",2009,"carpech01",578,6.48,74977000,45.36,1309577.23857928
"196","AL",1949,"truckvi01",825,6.94,12444000,48.58,1307229.76778659
"197","NL",1982,"niekrjo01",810,6.76,37232000,47.32,1303412.11146895
"198","AL",2015,"grayso01",624,5.27,87095000,36.89,1301202.59887275
"199","AL",1968,"mclaide01",1008,7.42,24796000,51.94,1299650.17089067
"200","NL",1948,"sainjo01",944,8.48,12298000,59.36,1291258.78183296
"201","NL",1981,"ryanno01",447,4.67,36801000,32.69,1285201.37642615
"202","NL",2007,"peavyja01",670,6.18,72551000,43.26,1270601.85401164
"203","NL",1967,"nolanga01",680,6.27,24144000,43.89,1260775.69275136
"204","AL",1980,"gurala01",850,5.98,36370000,41.86,1258403.96742815
"205","NL",1945,"roepr01",705,7.28,11860000,50.96,1254171.2154218
"206","NL",1998,"leiteal01",579,6.74,59384000,47.18,1253761.4629718
"207","AL",2013,"sanchan01",546,6.02,82733000,42.14,1249267.53962329
"208","AL",2018,"bauertr01",526,5.74,93638000,40.18,1239417.38301781
"209","AL",1943,"hughste01",798,5.74,11568000,40.18,1229949.02034628
"210","AL",1997,"thompju02",670,7.73,57046000,54.11,1212034.84135959
"211","NL",1992,"tewksbo01",699,6.39,45356000,44.73,1206519.20278152
"212","AL",1940,"newsobo01",792,7.37,11130000,51.59,1187334.0654182
"213","NL",1965,"malonji01",766,8.19,22840000,57.33,1187184.84667503
"214","NL",2016,"hendrky01",570,5.35,89276000,37.45,1184499.01111996
"215","AL",2017,"stromma01",603,5.31,91457000,37.17,1182746.20058861
"216","AL",1996,"guzmaju01",563,6.73,54708000,47.11,1168638.3197372
"217","AL",1937,"gomezle01",835,9.21,10767000,64.47,1151243.56527255
"218","NL",1976,"montejo01",760,6.89,32262000,48.23,1150007.60967226
"219","AL",1991,"candito01",714,7.05,43018000,49.35,1149468.96304397
"220","AL",2010,"buchhcl01",521,5.63,76190000,39.41,1149019.53327148
"221","NL",2019,"sorokmi01",524,5.67,95819000,39.69,1132839.87766434
"222","AL",1935,"ferrewe01",967,8.15,10525000,57.05,1131481.98490693
"223","NL",1962,"farretu01",725,7,20884000,49,1121729.65324883
"224","NL",1999,"millwke01",684,6.16,61722000,43.12,1107540.93026533
"225","NL",1932,"warnelo01",831,6.91,10162000,48.37,1097759.76991315
"226","AL",2017,"severlu01",580,5.3,91457000,37.1,1096891.81523882
"227","NL",1934,"daviscu01",823,8.49,10404000,59.43,1095241.60346106
"228","NL",1931,"bengera01",741,6.21,10041000,43.47,1086481.97037194
"229","NL",2016,"martica04",586,5.3,89276000,37.1,1069413.63804527
"230","NL",1987,"welchbo01",755,7.1,39387000,49.7,1066512.80581588
"231","NL",2004,"perezol01",588,5.72,68912000,40.04,1065062.48209581
"232","AL",2011,"shielja02",748,5.77,78371000,40.39,1063200.60278178
"233","NL",1986,"rhoderi01",761,6.63,38956000,46.41,1057024.58104037
"234","NL",2015,"bumgama01",655,5.13,87095000,35.91,1051711.51108878
"235","NL",2003,"hernali01",700,6.35,67699000,44.45,1050712.03392966
"236","NL",2019,"corbipa01",606,5.65,95819000,39.55,1037751.8746765
"237","AL",1990,"boddimi01",684,5.9,40680000,41.3,1030380.84585649
"238","NL",1926,"carlsha01",802,8.28,9524000,57.96,1027636.76728257
"239","NL",1959,"jacksla01",768,7.33,18881000,51.31,1025741.20093158
"240","AL",1972,"lolicmi01",982,7.4,28154000,51.8,1024970.13431021
"241","NL",1939,"waltebu01",957,8.2,11009000,57.4,1024856.38206185
"242","AL",2018,"clevimi01",600,5.19,93638000,36.33,1022412.06794702
"243","AL",1924,"ehmkeho01",945,8.24,9326000,57.68,1019453.50215785
"244","AL",2001,"muldema01",688,5.62,65273000,39.34,1017882.5441535
"245","NL",1982,"andujjo01",797,5.78,37232000,40.46,1017746.14994036
"246","NL",1923,"ringji01",913,7.97,9227000,55.79,1010116.53955855
"247","AL",2008,"harderi01",444,5.9,73764000,41.3,1008507.52806401
"248","NL",2013,"chacijh01",592,5.68,82733000,39.76,1004526.71182619
"249","AL",1922,"rommeed01",882,7.29,9128000,51.03,1000766.68730624
"250","AL",1981,"mccatst01",557,4.49,36801000,31.43,999338.383248572
"251","NL",2000,"bensokr01",653,5.08,64060000,35.56,999045.554752727
"252","NL",1958,"jonessa02",750,6.25,18182000,43.75,997261.943449519
"253","AL",2017,"santaer01",634,4.77,91457000,33.39,995999.597780748
"254","NL",1921,"grimebu01",907,7.8,9029000,54.6,991402.990244539
"255","NL",2007,"haranaa01",695,6,72551000,42,989360.104713435
"256","AL",1996,"hillke01",752,6.59,54708000,46.13,983899.20375553
"257","AL",1920,"covelst01",945,8.61,8930000,60.27,982025.435752657
"258","NL",1925,"rixeyep01",862,6.46,9425000,45.22,981791.833903856
"259","AL",2016,"fulmemi01",477,5.25,89276000,36.75,971557.560032771
"260","AL",1979,"kernji01",429,6.1,35343000,42.7,971507.450238617
"261","NL",1999,"astacpe01",696,5.87,61722000,41.09,970620.655677145
"262","NL",1905,"youngir01",1134,9.31,7065000,65.17,962223.473614997
"263","AL",1995,"martide01",561,5.69,52370000,39.83,962100.482429206
"264","AL",2011,"fistedo01",649,5.09,78371000,35.63,960411.38523572
"265","AL",1914,"leonadu01",674,9.42,8702000,65.94,960371.248218213
"266","NL",2015,"harvema01",568,4.8,87095000,33.6,960087.299367944
"267","AL",1913,"russere01",950,8.89,8664000,62.23,956757.919915005
"268","AL",2019,"giolilu01",530,5.61,95819000,39.27,953749.862083807
"269","AL",1991,"tapanke01",732,6.79,43018000,47.53,950557.09895859
"270","NL",2004,"kennejo04",487,5.62,68912000,39.34,949727.353154426
"271","AL",1978,"goltzda01",661,6.58,34316000,46.06,943092.058022702
"272","AL",1911,"greggve01",734,8.83,8588000,61.81,929650.615707741
"273","NL",2014,"zimmejo02",599,4.79,84914000,33.53,921311.881911421
"274","AL",2013,"darviyu01",629,5.56,82733000,38.92,918401.920055833
"275","NL",1909,"brownmo01",1028,9.54,8253000,66.78,911054.563349214
"276","NL",2001,"millewa04",636,5.28,65273000,36.96,906267.984327433
"277","AL",2016,"tanakma01",599,5.23,89276000,36.61,902997.546401606
"278","NL",2007,"pennybr01",624,5.95,72551000,41.65,897613.301933349
"279","NL",1955,"frienbo01",601,5.99,16085000,41.93,890878.408917921
"280","AL",1988,"swindgr01",726,5.92,39818000,41.44,889686.904696137
"281","AL",2011,"wilsocj01",670,4.9,78371000,34.3,875262.548933266
"282","AL",1996,"nagych01",666,6.55,54708000,45.85,872123.184134931
"283","AL",1986,"wittmi01",807,6.06,38956000,42.42,871704.130289342
"284","NL",2018,"taillja01",573,4.7,93638000,32.9,871047.195996902
"285","AL",1975,"kaatji01",911,7.71,31235000,53.97,866515.528393011
"286","AL",1999,"garcifr02",604,5.36,61722000,37.52,865178.072128016
"287","AL",1954,"gromest01",758,5.64,15386000,39.48,863567.157185958
"288","AL",1985,"leibrch01",713,6.59,38525000,46.13,862568.620073245
"289","NL",2017,"rayro02",486,4.68,91457000,32.76,855379.49060903
"290","NL",1992,"fernasi01",644,6.07,45356000,42.49,845171.440408202
"291","NL",2003,"woodke02",633,6.14,67699000,42.98,844473.486252717
"292","NL",2009,"cainma01",653,6.13,74977000,42.91,843815.831475251
"293","AL",1995,"wellsda01",609,5.38,52370000,37.66,842112.537784616
"294","AL",2016,"sanchaa01",576,5.1,89276000,35.7,837911.476566718
"295","AL",1982,"sutclri01",648,5.66,37232000,39.62,836429.901668295
"296","AL",1964,"fordwh01",734,6.69,22188000,46.83,833462.446300336
"297","AL",2008,"matsuda01",503,5.38,73764000,37.66,832072.78085371
"298","NL",1953,"haddiha01",759,6.39,14687000,44.73,829638.386308812
"299","AL",1906,"orthal01",1016,7.83,7362000,54.81,824034.013077112
"300","AL",1983,"mcgresc01",780,5.3,37663000,37.1,822488.009817344
"301","AL",2007,"kazmisc01",620,5.82,72551000,40.74,819541.295705419
"302","NL",1967,"shortch02",598,6.19,24144000,43.33,818838.938898714
"303","AL",1980,"norrimi01",853,5.86,36370000,41.02,818299.660418582
"304","NL",2018,"marquge01",588,4.66,93638000,32.62,814340.23948137
"305","NL",1994,"jacksda02",538,4.72,50032000,33.04,807975.913076493
"306","NL",2011,"kenneia01",666,4.84,78371000,33.88,807966.795976724
"307","AL",1979,"morrija02",593,5.82,35343000,40.74,800736.692611801
"308","AL",2017,"cashnan01",500,4.57,91457000,31.99,795090.575784701
"309","AL",1996,"fernaal01",774,6.4,54708000,44.8,779245.684800595
"310","NL",2019,"ryuhy01",548,5.07,95819000,35.49,774980.414365868
"311","AL",2002,"byrdpa01",685,5.58,66486000,39.06,761102.683587322
"312","AL",1904,"chesbja01",1364,10.37,6768000,72.59,760677.978425208
"313","NL",1951,"maglisa01",894,6.64,13289000,46.48,759724.612512414
"314","AL",2007,"bedarer01",546,5.72,72551000,40.04,755636.405793914
"315","NL",2012,"medlekr01",414,4.36,80552000,30.52,755551.249133434
"316","NL",1970,"holtzke01",863,6.4,26100000,44.8,749280.643695238
"317","AL",2014,"hugheph01",629,4.53,84914000,31.71,748843.688302764
"318","AL",1995,"wakefti01",586,5,52370000,35,747862.424383569
"319","NL",1960,"mcdanli01",349,5.94,19580000,41.58,745858.412855854
"320","NL",1977,"candejo01",692,7.36,33289000,51.52,739640.941315551
"321","NL",2000,"parkch01",678,4.9,64060000,34.3,736937.131241939
"322","AL",2019,"mortoch02",584,5.06,95819000,35.42,735176.495792871
"323","NL",2016,"syndeno01",551,5.01,89276000,35.07,734151.129905416
"324","AL",1984,"beattji01",633,5.13,38094000,35.91,728207.123448556
"325","NL",1959,"lawve01",798,6.53,18881000,45.71,726323.878415384
"326","AL",1950,"garvene01",780,7.28,12590000,50.96,724379.73496778
"327","NL",2004,"pavanca01",667,5.27,68912000,36.89,722936.156038891
"328","NL",1975,"jonesra01",855,7.54,31235000,52.78,718189.431492281
"329","NL",1949,"polleho01",692,6.49,12444000,45.43,716105.433606072
"330","AL",1968,"bahnsst01",802,6.39,24796000,44.73,710597.690372343
"331","AL",1981,"fingero01",234,4.21,36801000,29.47,708238.672755987
"332","NL",2017,"godleza01",465,4.2,91457000,29.4,704842.139480426
"333","NL",1947,"brancra01",840,6.92,12152000,48.44,704619.480288161
"334","NL",1996,"neaglde01",664,6.02,54708000,42.14,703969.484015423
"335","NL",1958,"millest01",546,4.93,18182000,34.51,703083.59913188
"336","AL",2019,"biebesh01",643,4.95,95819000,34.65,695523.25269526
"337","NL",1967,"abernte02",319,6.17,24144000,43.19,695236.669243003
"338","AL",1993,"darwida01",688,5.69,47694000,39.83,692146.687805649
"339","NL",2001,"kileda01",682,4.89,65273000,34.23,688253.323125838
"340","AL",1945,"pottene01",766,7.15,11860000,50.05,688211.772273936
"341","AL",1985,"houghch01",751,6.31,38525000,44.17,687791.22205671
"342","NL",1944,"sewelri01",864,5.96,11714000,41.72,682670.557416574
"343","AL",2018,"treinbl01",241,4.24,93638000,29.68,681316.09718392
"344","NL",1957,"podrejo01",588,5.77,17483000,40.39,678820.74359115
"345","NL",1995,"ashbyan01",578,4.92,52370000,34.44,677398.822881119
"346","AL",2006,"papeljo01",205,5.02,71338000,35.14,677242.664099259
"347","AL",2015,"archech01",636,4.13,87095000,28.91,674682.132987296
"348","NL",1941,"wyattwh01",865,6.68,11276000,46.76,660608.545904593
"349","NL",2019,"castilu02",572,4.72,95819000,33.04,660091.979435729
"350","AL",2003,"mayda02",630,5.94,67699000,41.58,659577.472711332
"351","NL",1978,"kneppbo01",780,6.29,34316000,44.03,658501.682918065
"352","AL",1992,"perezme01",743,5.91,45356000,41.37,657411.198177845
"353","AL",1999,"halamjo01",537,4.77,61722000,33.39,657005.251561626
"354","AL",2011,"hellije01",567,4.27,78371000,29.89,651163.909059651
"355","NL",2013,"woodtr01",600,4.4,82733000,30.8,646662.444257504
"356","NL",2006,"jennija01",636,5.01,71338000,35.07,644947.077142604
"357","NL",1994,"freemma02",338,4.54,50032000,31.78,644655.656940764
"358","AL",1985,"mooremi01",741,6.3,38525000,44.1,642926.23492936
"359","NL",1984,"penaal01",598,4.99,38094000,34.93,639688.158595095
"360","NL",2001,"burkejo03",658,4.83,65273000,33.81,639300.122396947
"361","NL",1971,"roberda05",809,7.51,27127000,52.57,638136.009149513
"362","NL",1898,"griffcl01",977,10.66,5466000,74.62,636197.415506533
"363","AL",1937,"ruffire01",769,6.23,10767000,43.61,636162.797074385
"364","NL",1998,"cordofr01",661,5.46,59384000,38.22,635481.662568434
"365","AL",1937,"allenjo02",519,6.23,10767000,43.61,634820.065681672
"366","NL",2017,"anderch01",424,4.16,91457000,29.12,634065.781029187
"367","NL",1940,"passecl01",842,6.74,11130000,47.18,632022.967240644
"368","NL",1983,"mcmurcr01",674,5.2,37663000,36.4,630743.587574171
"369","NL",2005,"pattejo02",595,4.78,70125000,33.46,629632.948178069
"370","NL",1938,"derripa01",921,5.45,10888000,38.15,628925.243327976
"371","NL",1900,"dinnebi01",962,6.66,5580000,46.62,627455.637047639
"372","NL",1982,"mintogr01",369,5.36,37232000,37.52,627161.133994004
"373","AL",1963,"peterga01",729,5.94,21536000,41.58,626873.775654554
