"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"5735","NL",1894,"westehu01",423,0.83,5238000,5.81,31726.7506865607
"5736","NL",1987,"bockura01",52,0.08,39387000,0.56,31724.3437307597
"5737","NL",2015,"cornejo01",3,-0.13,87095000,-0.91,31724.0460345792
"5738","AL",1988,"heinkdo01",109,0.15,39818000,1.05,31721.5682811624
"5739","AL",2019,"ortizlu02",10,-0.12,95819000,-0.84,31719.774215616
"5740","NL",2011,"schwich01",63,-0.1,78371000,-0.7,31702.3586013805
"5741","NL",1999,"francma01",4,-0.05,61722000,-0.35,31696.7190204228
"5742","AL",1974,"barrst01",27,0.14,30208000,0.98,31694.3118542437
"5743","NL",2001,"gandagu01",59,-0.05,65273000,-0.35,31689.2968789766
"5744","AL",2000,"newmaal02",4,-0.08,64060000,-0.56,31679.4495346022
"5745","AL",2019,"birdky01",38,-0.12,95819000,-0.84,31679.0432337139
"5746","NL",2015,"contrca01",84,-0.13,87095000,-0.91,31677.6779805077
"5747","NL",2014,"kickhmi01",6,-0.19,84914000,-1.33,31666.8739416487
"5748","NL",1966,"dowlida01",27,0.38,23492000,2.66,31665.9086670782
"5749","AL",1991,"daltomi01",24,0.07,43018000,0.49,31650.7136930199
"5750","NL",1999,"ebertde01",24,-0.05,61722000,-0.35,31646.9776655017
"5751","AL",1935,"thomafa01",441,1.44,10525000,10.08,31646.2064149196
"5752","NL",2010,"sinkbbr01",6,-0.17,76190000,-1.19,31641.9298896647
"5753","NL",2006,"mateoju02",137,-0.09,71338000,-0.63,31635.1043326782
"5754","NL",2017,"espinpa01",72,-0.15,91457000,-1.05,31634.9002869663
"5755","AL",2018,"astudwi01",3,-0.15,93638000,-1.05,31634.0263968731
"5756","NL",1994,"martijo06",36,-0.08,50032000,-0.56,31612.9896036071
"5757","NL",1918,"causere01",475,1.47,8854000,10.29,31603.3749022068
"5758","NL",1991,"gardnch01",74,0.07,43018000,0.49,31599.3093302466
"5759","AL",2019,"urenari01",3,-0.12,95819000,-0.84,31598.0332938157
"5760","NL",2018,"burdini01",4,-0.15,93638000,-1.05,31592.0771511442
"5761","NL",1967,"grahabi02",82,0.38,24144000,2.66,31591.4143970758
"5762","NL",2002,"josepke01",33,-0.11,66486000,-0.77,31587.3743291121
