,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,World Population Prospects: The 2010 Revision,,,,,,,,,,,,,,,,,,,,,,,
,,,,"File 2A: Male population by five-year age group, major area, region and country, annually for 1950-2010 (thousands)",,,,,,,,,,,,,,,,,,,,,,,
,,,,"Estimates, 1950-2010",,,,,,,,,,,,,,,,,,,,,,,
,,,,POP/DB/WPP/Rev.2010/04/F02A,,,,,,,,,,,,,,,,,,,,,,,
,,,,June 2011 - Copyright © 2011 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2011). World Population Prospects: The 2010 Revision, CD-ROM Edition.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Male population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Major area, region, country or area *",Notes,Country code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
20,Estimates,Mozambique,,508,1950,546.546,420.668,364.017,321.504,280.549,242.401,208.827,178.267,149.889,123.903,100.1,78.167,57.586,38.98,22.66,10.395,4.159,…,…,…,…,…
21,Estimates,Réunion,,638,1950,21.301,15.506,11.494,11.865,10.726,10.233,8.395,7.413,6.247,4.758,3.53,2.675,1.951,1.153,0.849,0.5,0.333,…,…,…,…,…
22,Estimates,Rwanda,,646,1950,212.107,139.917,121.259,117.984,105.488,72.655,45.76,38.83,37.047,32.488,28.322,23.22,20.274,14.264,6.457,3.234,1.554,…,…,…,…,…
23,Estimates,Somalia,,706,1950,195.365,142.447,127.954,110.792,99.065,87.146,76.754,66.837,56.349,47.197,38.328,29.843,20.881,13.539,7.341,3.051,0.953,…,…,…,…,…
24,Estimates,Uganda,,800,1950,476.097,363.628,278.181,279.823,239.143,200.509,165.273,133.773,108.728,88.669,70.294,54.169,43.337,31.837,21.17,11.947,5.893,…,…,…,…,…
25,Estimates,United Republic of Tanzania,3,834,1950,722.029,550.384,461.203,392.172,330.603,275.752,229.482,189.555,154.854,124.629,98.136,75.001,54.479,36.568,21.643,10.448,4.478,…,…,…,…,…
26,Estimates,Zambia,,894,1950,221.01,169.022,142.284,119.387,100.95,84.708,72.699,61.107,50.456,39.585,31.8,22.717,18.733,13.892,9.389,4.994,2.429,…,…,…,…,…
27,Estimates,Zimbabwe,,716,1950,223.976,197.625,163.747,140.032,122.339,100.381,94.107,72.776,60.229,51.445,42.662,35.133,26.35,18.821,11.544,5.772,2.637,…,…,…,…,…
28,Estimates,Middle Africa,,911,1950,2162.968,1694.256,1452.049,1265.439,1098.699,942.091,809.398,688.345,580.434,482.699,398.302,317.592,238.491,176.781,120.271,71.694,53.804,…,…,…,…,…
29,Estimates,Angola,,24,1950,350.929,267.22,232.068,206.454,181.191,157.176,135.953,116.447,98.189,81.138,65.263,51.43,35.519,26.009,16.547,8.263,4.699,…,…,…,…,…
30,Estimates,Cameroon,,120,1950,352.239,281.31,246.502,219.575,193.524,169.005,147.332,127.41,109.022,91.946,75.964,60.86,46.411,32.619,20.359,10.289,4.816,…,…,…,…,…
31,Estimates,Central African Republic,,140,1950,94.772,76.272,68.233,62.426,56.722,50.021,44.048,39.718,35.206,30.64,26.865,21.075,17.6,14.003,9.201,4.834,2.344,…,…,…,…,…
32,Estimates,Chad,,148,1950,185.352,149,130.73,114.853,102.326,91.622,81.986,70.944,61.199,53.49,45.111,34.874,28.808,22.663,14.746,7.673,3.668,…,…,…,…,…
33,Estimates,Congo,,178,1950,64.458,51.669,45.103,39.929,35.054,30.48,26.44,22.809,19.463,16.365,13.501,10.819,8.287,5.888,3.69,1.92,0.919,…,…,…,…,…
34,Estimates,Democratic Republic of the Congo,,180,1950,1070.833,832.157,696.077,590.256,497.02,413.111,345.423,286.291,235.226,189.259,153.673,123.204,89.259,65.778,49.094,35.053,35.371,…,…,…,…,…
35,Estimates,Equatorial Guinea,,226,1950,14.896,12.071,11.091,10.424,9.387,8.473,7.772,6.834,6.017,5.321,4.918,4.191,3.446,2.758,1.827,0.973,0.48,…,…,…,…,…
36,Estimates,Gabon,,266,1950,24.53,21.375,20.382,19.635,18.744,17.72,16.708,15.668,14.535,13.288,11.917,10.38,8.628,6.654,4.517,2.509,1.342,…,…,…,…,…
37,Estimates,Sao Tome and Principe,,678,1950,4.959,3.182,1.863,1.887,4.731,4.483,3.736,2.224,1.577,1.252,1.09,0.759,0.533,0.409,0.29,0.18,0.165,…,…,…,…,…
38,Estimates,Northern Africa,,912,1950,4605.935,3373.345,2985.554,2667.311,2356.806,2021.419,1731.232,1487.715,1265.834,1056.819,870.869,698.124,545.262,398.794,257.72,136.112,62.421,…,…,…,…,…
39,Estimates,Algeria,,12,1950,699.22,557.84,499.22,440.91,385.17,333.45,290.79,257.02,224.29,192.48,159.41,132.99,105.86,83.61,58.26,30.268,14.251,…,…,…,…,…
40,Estimates,Egypt,,818,1950,1886.49,1238.07,1145.86,1073.4,981.62,847.06,731.07,629.15,536.46,451.62,372.03,295.57,220.6,148.86,85.6,38.23,14.932,…,…,…,…,…
41,Estimates,Libyan Arab Jamahiriya,,434,1950,89.53,71.9,59.18,49.64,42.86,35.72,31.3,26.79,24.31,18.58,17.85,18.02,15.45,12.31,9.316,5.173,2.821,…,…,…,…,…
42,Estimates,Morocco,,504,1950,806.5,645.1,547.69,466.16,393.95,330.47,276.83,233.28,195.86,161.88,130.87,95.88,74.03,56.93,39.393,18.716,7.311,…,…,…,…,…
43,Estimates,Sudan,4,736,1950,833.1,645,544.9,466.5,397.5,336.1,282.7,239.2,198.6,161,132,110.2,90.7,66.5,43.4,23.4,11.596,…,…,…,…,…
44,Estimates,Tunisia,,788,1950,289.9,214.5,187.9,170,155.1,138.1,118.1,101.9,86,71,58.5,45.3,38.5,30.5,21.7,20.3,11.5,…,…,…,…,…
45,Estimates,Western Sahara,,732,1950,1.195,0.935,0.804,0.701,0.606,0.519,0.442,0.375,0.314,0.259,0.209,0.164,0.122,0.084,0.051,0.025,0.01,…,…,…,…,…
46,Estimates,Southern Africa,,913,1950,1199.326,977.367,851.419,780.801,701.664,603.771,544.665,471.024,396.546,318.711,265.479,215.1,165.683,115.271,73.482,36.321,16.609,…,…,…,…,…
47,Estimates,Botswana,,72,1950,31.319,27.494,25.87,22.541,18.025,16.586,12.201,9.101,7.795,7.359,5.279,5.017,4.273,3.166,2.128,1.014,0.532,…,…,…,…,…
48,Estimates,Lesotho,,426,1950,58.73,46.921,40.924,34.77,29.713,26.248,21.77,19.108,16.601,12.667,9.891,8.327,6.81,5.338,3.538,1.954,0.923,…,…,…,…,…
49,Estimates,Namibia,,516,1950,38.758,30.838,26.014,23.584,22.252,19.183,16.114,13.541,11.434,10.073,8.275,6.199,5.424,3.874,3.099,1.55,0.776,…,…,…,…,…
50,Estimates,South Africa,,710,1950,1046.449,853.938,742.99,686.25,619.885,531.634,485.836,422.004,354.625,283.7,238.105,192.511,146.916,101.321,63.833,31.41,14.184,…,…,…,…,…
51,Estimates,Swaziland,,748,1950,24.07,18.176,15.621,13.656,11.789,10.12,8.744,7.27,6.091,4.912,3.929,3.046,2.26,1.572,0.884,0.393,0.194,…,…,…,…,…
52,Estimates,Western Africa,5,914,1950,5927.562,4749.074,4086.459,3568.205,3114.157,2706.392,2332.81,1968.258,1655.702,1371.719,1150.265,912.713,681.504,477.505,297.601,145.901,64.447,…,…,…,…,…
53,Estimates,Benin,,204,1950,143.828,123.357,103.374,90.047,79.829,72.317,66.627,62.728,58.824,52.961,45.344,40.153,33.263,28.628,23.225,17.756,8.468,…,…,…,…,…
54,Estimates,Burkina Faso,,854,1950,354.71,288.016,254.796,227.712,203.485,180.508,158.443,136.943,115.038,95.656,76.696,60.048,44.17,29.659,15.759,2.465,3.461,…,…,…,…,…
55,Estimates,Cape Verde,,132,1950,9.609,8.301,10.544,9.8,7.861,4.7,4.839,5.616,6.44,3.901,2.947,1.778,2.188,2.071,1.593,1.142,0.651,…,…,…,…,…
56,Estimates,Côte d'Ivoire,,384,1950,231.305,185.044,162.011,141.686,122.137,104.136,88.166,73.554,60.682,48.971,38.518,29.228,20.808,13.646,7.839,3.775,1.643,…,…,…,…,…
57,Estimates,Gambia,,270,1950,22.541,17.303,15.138,13.448,11.82,10.255,8.866,7.609,6.435,5.34,4.327,3.382,2.493,1.677,0.961,0.426,0.151,…,…,…,…,…
58,Estimates,Ghana,,288,1950,473.376,366.216,307.952,263.217,222.642,187.264,156.057,130.046,107.16,86.355,68.666,53.058,39.539,27.047,16.644,8.322,4.163,…,…,…,…,…
59,Estimates,Guinea,,324,1950,224.424,182.657,162.232,146.517,133.497,119.929,106.636,93.046,78.196,66.822,56.251,47.849,40.778,37.219,29.789,14.832,6.387,…,…,…,…,…
60,Estimates,Guinea-Bissau,,624,1950,41.174,32.736,26.82,24.875,22.545,20.398,18.527,16.794,13.614,10.364,8.763,6.279,5.009,3.944,2.549,1.321,0.62,…,…,…,…,…
61,Estimates,Liberia,,430,1950,70.773,63.721,55.431,48.344,43.415,38.925,33.541,28.669,23.608,19.435,15.44,12.146,9.052,6.514,4.13,2.128,1.033,…,…,…,…,…
62,Estimates,Mali,,466,1950,365.771,293.229,247.167,227.94,212.882,196.5,180.466,157.2,130.366,104.8,77.584,60.26,47.773,34.06,22.27,10.752,3.977,…,…,…,…,…
63,Estimates,Mauritania,,478,1950,56.462,44.68,39.143,34.345,29.637,25.296,21.53,18.18,15.108,12.244,9.561,7.058,4.803,2.91,1.478,0.563,0.17,…,…,…,…,…
64,Estimates,Niger,,562,1950,229.075,190.643,154.239,126.33,102.813,86.134,71.29,58.571,46.688,35.602,21.962,14.93,7.576,4.594,2.297,1.666,0.987,…,…,…,…,…
65,Estimates,Nigeria,,566,1950,3228.75,2583,2226,1929.9,1672.65,1444.8,1231.65,1019.55,858.9,717.15,632.1,502.95,364.35,241.5,140.7,66.15,26.25,…,…,…,…,…
66,Estimates,Senegal,,686,1950,207.048,161.167,140.558,123.155,107.489,91.866,78.481,66.958,56.162,46.781,38.085,29.403,23.479,17.504,11.753,6.058,2.83,…,…,…,…,…
67,Estimates,Sierra Leone,,694,1950,151.515,117.098,103.155,93.015,82.778,72.93,63.863,55.38,47.483,39.78,32.468,25.448,18.915,12.773,7.313,3.315,1.073,…,…,…,…,…
68,Estimates,Togo,,768,1950,116.733,91.539,77.609,67.667,58.524,50.273,43.663,37.292,30.91,25.475,21.49,18.683,17.255,13.708,9.235,5.19,2.521,…,…,…,…,…
69,Estimates,ASIA,,935,1950,102585.122,83182.439,78627.087,72571.815,64128.893,54896.251,49975.531,45027.939,39877.001,34365.014,28294.753,22800.266,17906.051,12195.224,7616.373,3975.714,2074.012,…,…,…,…,…
