"","playerID","yearID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"6840","coveydy01",2018,365,-0.21,17229392,-1.47,6961.06906099501
"6841","mountfr01",1882,432,-0.22,551684,-1.54,6959.23575788569
"6842","moellro01",1958,13,0.03,4545500,0.21,6958.76691668762
"6843","verdury01",2012,5,-0.32,15788192,-2.24,6957.69545718602
"6844","reynoro01",1914,234,1.59,1479340,11.13,6954.49238807264
"6845","vandehy01",1944,379,0.38,2593814.28571429,2.66,6954.18370889002
"6846","pennha01",2010,7,-0.35,15238000,-2.45,6952.57717395916
"6847","matafr01",2010,52,-0.36,15238000,-2.52,6952.05491960884
"6848","johnsad01",2003,4,-0.43,14487586,-3.01,6949.92940648049
"6849","janispa01",2009,6,-0.32,15145354,-2.24,6946.46026453849
"6850","rothmi01",2016,11,-0.28,16783888,-1.96,6945.21438763962
"6851","willine01",1881,54,0.12,539781,0.84,6942.89303389091
"6852","bowersh01",1997,57,-0.54,13063534,-3.78,6942.71493191342
"6853","goldsha01",1927,218,0.87,2126683,6.09,6942.69793191593
"6854","youngda01",2000,9,-0.37,14093200,-2.59,6940.78612117231
"6855","gonzame01",2018,66,-0.21,17229392,-1.47,6940.70261410589
"6856","byrdje01",1977,262,-1.1,9886833,-7.7,6940.57929854853
"6857","daleybi01",1889,144,0.63,638421,4.41,6930.98850814095
"6858","farmemi01",1996,84,-0.45,12692256,-3.15,6930.06421182465
"6859","behneme01",1970,30,-0.4,8613000,-2.8,6929.88889747589
"6860","fernaju01",2019,35,-0.15,17439058,-1.05,6926.03402345409
"6861","gaddyjo01",1938,39,0.53,2678448,3.71,6925.45204867771
"6862","clarkwe01",1955,64,0.16,3931888.88888889,1.12,6925.28904411541
"6863","collaal01",1915,193,1.55,1529500,10.85,6922.62565265906
"6864","estocge01",1951,181,0.13,3543733.33333333,0.91,6919.73008462748
"6865","garcied01",2019,117,-0.15,17439058,-1.05,6916.7074097064
"6866","sunketo01",1937,88,0.61,2627148,4.27,6916.19965713002
"6867","doyleca01",1939,53,0.53,2730232,3.71,6913.92084884389
"6868","salasma02",2008,51,-0.41,15047856,-2.87,6912.25126669185
"6869","komiysa01",2002,130,-0.4,14360976,-2.8,6909.55914777899
"6870","mmahake01",1989,23,-0.33,10263495,-2.31,6909.53223933042
"6871","woodsp01",1930,174,0.65,2281600,4.55,6908.66077498588
"6872","philled03",1970,71,-0.13,7569000,-0.91,6900.65903913197
"6873","butlead01",1998,15,-0.49,13420784,-3.43,6898.42732960056
"6874","napiebu01",1920,147,1.18,1786000,8.26,6894.55321957815
"6875","yochile01",1954,59,-0.21,4872233.33333333,-1.47,6893.4728847935
"6876","polleda01",1996,65,-0.47,12692256,-3.29,6893.23954591639
"6877","thompmi03",2006,276,-0.32,14838304,-2.24,6891.34903625618
