"","name","rookie_year","WAR_total"
"berkmla01_proj","berkmla01_proj",1999,54.4781335682383
"bernato01_proj","bernato01_proj",1979,2.99771414704928
"berrayo01_proj","berrayo01_proj",1946,29.0208855431451
"berryke01_proj","berryke01_proj",1962,-7.36862348339842
"beschbo01_proj","beschbo01_proj",1908,-5.14243416095512
"betanyu01_proj","betanyu01_proj",2005,3.78618380972101
"bettsmo01_proj","bettsmo01_proj",2014,43.3819220581931
"bicheda01_proj","bicheda01_proj",1988,-2.62245413373533
"bigbeca01_proj","bigbeca01_proj",1916,-15.8545266606986
"biggicr01_proj","biggicr01_proj",1988,56.8759634817241
"biittla01_proj","biittla01_proj",1971,-23.4141416403027
"bishoma01_proj","bishoma01_proj",1924,9.66243005862819
"blackch02_proj","blackch02_proj",2011,23.903902432348
"blairpa01_proj","blairpa01_proj",1965,17.3118601106374
"blakeca01_proj","blakeca01_proj",1999,25.9499169091456
"blaloha01_proj","blaloha01_proj",2002,16.9552774466
"blasido01_proj","blasido01_proj",1955,3.12531902388634
"blausje01_proj","blausje01_proj",1987,14.5426273125099
"bloodji01_proj","bloodji01_proj",1937,-19.1424277980195
"bluegos01_proj","bluegos01_proj",1922,-16.2845851868818
"bluelu01_proj","bluelu01_proj",1921,4.78541282246403
"blumge01_proj","blumge01_proj",1999,5.03992050392394
"bochtbr01_proj","bochtbr01_proj",1974,9.12458212044111
"bodiepi01_proj","bodiepi01_proj",1911,-7.43637558726772
"bogaexa01_proj","bogaexa01_proj",2013,25.8753672648854
"boggswa01_proj","boggswa01_proj",1982,86.9107648445917
"bollifr01_proj","bollifr01_proj",1954,3.28751812287695
"bondsba01_proj","bondsba01_proj",1986,152.905528250767
"bondsbo01_proj","bondsbo01_proj",1968,39.5277868570791
"bonilbo01_proj","bonilbo01_proj",1986,20.4637511307441
"bonneba01_proj","bonneba01_proj",1977,-14.4785837706764
"bonurze01_proj","bonurze01_proj",1934,7.92804513663861
"booneaa01_proj","booneaa01_proj",1997,14.4250129212966
"boonebo01_proj","boonebo01_proj",1972,4.29650391498285
"boonebr01_proj","boonebr01_proj",1992,18.797070923438
"boonera01_proj","boonera01_proj",1948,3.65969652217912
"bordepa01_proj","bordepa01_proj",1988,-11.2516662706752
"bordimi01_proj","bordimi01_proj",1990,22.0535670372766
"bottoji01_proj","bottoji01_proj",1922,-5.69843618177797
"boudrlo01_proj","boudrlo01_proj",1939,36.5956060262998
"bournmi01_proj","bournmi01_proj",2006,26.8851838639407
"bowala01_proj","bowala01_proj",1970,2.51578948762723
"bowerfr01_proj","bowerfr01_proj",1896,-36.3452238596661
"boyercl02_proj","boyercl02_proj",1955,3.08254033631453
"boyerke01_proj","boyerke01_proj",1955,40.926456541304
"bradlbi01_proj","bradlbi01_proj",1899,7.6993837170764
"bradlmi01_proj","bradlmi01_proj",2000,18.1677027365926
"bradlph01_proj","bradlph01_proj",1983,14.1047877699317
"brandja01_proj","brandja01_proj",1956,-0.66549679140096
"branski01_proj","branski01_proj",1898,-20.8630004491501
"brantmi02_proj","brantmi02_proj",2009,35.2909954181902
"braunry02_proj","braunry02_proj",2007,53.5124173464628
"braunst01_proj","braunst01_proj",1971,2.51648517231384
"breamsi01_proj","breamsi01_proj",1983,0.0986638969748968
"bresnro01_proj","bresnro01_proj",1897,-8.83133189079637
"bressed01_proj","bressed01_proj",1956,-2.37712497823253
"bressru01_proj","bressru01_proj",1914,-34.3546207652616
"brettge01_proj","brettge01_proj",1973,72.5282713711998
"bridwal01_proj","bridwal01_proj",1905,-5.79918615773674
"briggjo02_proj","briggjo02_proj",1964,9.76612427039074
"brinked01_proj","brinked01_proj",1961,-13.0790212774499
"brockgr01_proj","brockgr01_proj",1982,2.2645549994602
"brocklo01_proj","brocklo01_proj",1961,18.6310430273919
"brodist01_proj","brodist01_proj",1890,-15.5445190328383
"brookhu01_proj","brookhu01_proj",1980,0.365968711466685
"brookto01_proj","brookto01_proj",1979,3.31494075376526
"brosisc01_proj","brosisc01_proj",1991,12.7084696950431
"broutda01_proj","broutda01_proj",1880,46.8851953162313
"brownge01_proj","brownge01_proj",1901,-26.4681864227374
"brownje01_proj","brownje01_proj",1986,4.22621949835662
"brownji03_proj","brownji03_proj",1937,-6.90465340506103
"brownla01_proj","brownla01_proj",1963,-12.7227969737915
"brownol02_proj","brownol02_proj",1965,-11.3210389218218
"brownto01_proj","brownto01_proj",1887,-23.6398938245389
"bruceja01_proj","bruceja01_proj",2008,26.3040696827638
"brunato01_proj","brunato01_proj",1981,8.5797075842295
"brutobi01_proj","brutobi01_proj",1953,11.0479280038745
"buckjo01_proj","buckjo01_proj",2004,7.97528800450207
"bucknbi01_proj","bucknbi01_proj",1970,-14.8247343464525
"buechst01_proj","buechst01_proj",1985,8.18730591240146
"bufordo01_proj","bufordo01_proj",1963,22.3712244731301
"buhneja01_proj","buhneja01_proj",1987,18.6722874813772
"bumbral01_proj","bumbral01_proj",1972,8.4528021400931
"burgesm01_proj","burgesm01_proj",1949,5.29955293233303
"burkeed01_proj","burkeed01_proj",1890,-11.7365617160507
"burkeje01_proj","burkeje01_proj",1890,18.1647094856231
"burksel01_proj","burksel01_proj",1987,39.0513079787848
"burleri01_proj","burleri01_proj",1974,8.98514484005127
"burnije01_proj","burnije01_proj",1993,15.3359152568421
"burnsge01_proj","burnsge01_proj",1911,2.98168105379438
"burnsge02_proj","burnsge02_proj",1914,-6.16216972467985
"burnsja02_proj","burnsja02_proj",1930,-16.522119573022
"burnsto01_proj","burnsto01_proj",1880,-3.05398507277016
"burrepa01_proj","burrepa01_proj",2000,22.2783521215997
"burroje01_proj","burroje01_proj",1970,-1.21840386569435
"busbyji01_proj","busbyji01_proj",1950,-9.24831437445016
"bushdo01_proj","bushdo01_proj",1908,-2.97120631000878
"bushra01_proj","bushra01_proj",1982,-12.474971003634
"butlebi03_proj","butlebi03_proj",2007,15.0186996313265
"butlebr01_proj","butlebr01_proj",1981,34.0090966770519
"byrdma01_proj","byrdma01_proj",2002,29.9700669697639
"byrnebo01_proj","byrnebo01_proj",1907,-14.1865118667584
"byrneer01_proj","byrneer01_proj",2000,11.6167094940277
"cabelen01_proj","cabelen01_proj",1972,-13.1384435192862
"cabreas01_proj","cabreas01_proj",2007,35.1756027433131
"cabreme01_proj","cabreme01_proj",2005,26.1490247236366
"cabremi01_proj","cabremi01_proj",2003,73.0083232543787
"cabreor01_proj","cabreor01_proj",1997,22.093322391132
"cainlo01_proj","cainlo01_proj",2010,43.6298379845312
"cairomi01_proj","cairomi01_proj",1996,7.59125208093567
"caldeiv01_proj","caldeiv01_proj",1984,3.96698231363887
"calhoko01_proj","calhoko01_proj",2012,22.1140558455127
"callaal01_proj","callaal01_proj",2006,14.7350557641698
"callani01_proj","callani01_proj",1894,-29.7395711827164
"callijo01_proj","callijo01_proj",1958,17.873878263067
"camermi01_proj","camermi01_proj",1995,46.1781346956788
"camildo01_proj","camildo01_proj",1933,15.7128431218304
"caminke01_proj","caminke01_proj",1987,20.8791831790778
"campabe01_proj","campabe01_proj",1964,21.1546817621565
"camparo01_proj","camparo01_proj",1948,20.8783218481738
"campbbr01_proj","campbbr01_proj",1930,-15.7331243150208
"canoro01_proj","canoro01_proj",2005,77.5065317717626
"cansejo01_proj","cansejo01_proj",1985,33.8375539864444
"cantujo01_proj","cantujo01_proj",2004,3.77784459437648
"cardejo02_proj","cardejo02_proj",1963,-8.25632074580574
"cardele01_proj","cardele01_proj",1960,2.96287641719544
"carewro01_proj","carewro01_proj",1967,60.6638600059195
"careyma01_proj","careyma01_proj",1910,6.19280905230235
"carpema01_proj","carpema01_proj",2011,32.6630939054456
"carrach01_proj","carrach01_proj",1950,3.80638393112131
"carrocl01_proj","carrocl01_proj",1882,-14.3661990370764
"carroja01_proj","carroja01_proj",2002,19.9709601991932
"cartega01_proj","cartega01_proj",1974,54.40331290244
"cartejo01_proj","cartejo01_proj",1983,1.72346060882914
"cartyri01_proj","cartyri01_proj",1964,14.8013250180683
"casege01_proj","casege01_proj",1937,-4.00882062973736
"caseydo01_proj","caseydo01_proj",1898,-24.1832757587536
"caseyse01_proj","caseyse01_proj",1997,16.8810008594492
"cashda01_proj","cashda01_proj",1969,11.4810751259321
"cashno01_proj","cashno01_proj",1958,23.884690087253
"casteni01_proj","casteni01_proj",2013,12.5642450165667
"castilu01_proj","castilu01_proj",1996,29.1114440726655
"castivi02_proj","castivi02_proj",1991,9.73318026130111
"castrst01_proj","castrst01_proj",2010,24.0315012587984
"catalfr01_proj","catalfr01_proj",1997,14.3336883428045
"caterda01_proj","caterda01_proj",1964,-1.34265925552191
"causewa01_proj","causewa01_proj",1955,-9.3715330936489
"cavarph01_proj","cavarph01_proj",1934,-5.52977372077302
"cedence01_proj","cedence01_proj",1970,35.6142100476067
"cedenro01_proj","cedenro01_proj",1995,1.13809087001933
"cepedor01_proj","cepedor01_proj",1958,24.6764925045688
"ceronri01_proj","ceronri01_proj",1975,-18.4951703252329
"cespeyo01_proj","cespeyo01_proj",2012,27.1616638208988
"ceyro01_proj","ceyro01_proj",1972,37.697224482097
"chambch01_proj","chambch01_proj",1971,10.6452315423378
"chancfr01_proj","chancfr01_proj",1898,-1.13767927307832
"chapmbe01_proj","chapmbe01_proj",1930,9.91954048217355
"chapmra01_proj","chapmra01_proj",1912,6.17601541707772
"chapmsa01_proj","chapmsa01_proj",1938,-1.53065151712445
"charled01_proj","charled01_proj",1962,8.56772244837544
"chaseha01_proj","chaseha01_proj",1905,-21.4427496249765
"chaveen01_proj","chaveen01_proj",2001,8.14491840849299
"chaveer01_proj","chaveer01_proj",1998,39.9642870694002
"childcu01_proj","childcu01_proj",1888,9.04142867373277
"choosh01_proj","choosh01_proj",2005,40.8827597679068
"chrisma01_proj","chrisma01_proj",1938,-17.562323562911
"cimolgi01_proj","cimolgi01_proj",1956,-16.6818869415858
"cirilje01_proj","cirilje01_proj",1994,33.2705744380878
"cissebi01_proj","cissebi01_proj",1928,-18.9874458934284
"clarkbo02_proj","clarkbo02_proj",1893,-27.7873929893538
"clarkfr01_proj","clarkfr01_proj",1894,11.2642325283511
"clarkho01_proj","clarkho01_proj",1965,2.00191609264435
"clarkja01_proj","clarkja01_proj",1975,38.1345183232234
"clarkto02_proj","clarkto02_proj",1995,7.94078729680844
"clarkwi02_proj","clarkwi02_proj",1986,50.4132798093925
"claytro01_proj","claytro01_proj",1991,12.360502663342
"clemeja01_proj","clemeja01_proj",1885,-16.9438456022876
"clemero01_proj","clemero01_proj",1955,68.1077535472008
"clenddo01_proj","clenddo01_proj",1961,2.44965483010473
"cliftha01_proj","cliftha01_proj",1934,14.9106333687245
"cobbty01_proj","cobbty01_proj",1905,94.6107024356111
"cochrmi01_proj","cochrmi01_proj",1925,17.57890294343
"colavro01_proj","colavro01_proj",1955,24.9028965394707
"colbena01_proj","colbena01_proj",1968,2.30631046737727
"colemvi01_proj","colemvi01_proj",1985,2.45414937915642
"collida02_proj","collida02_proj",1975,-7.27226593724899
"collied01_proj","collied01_proj",1906,64.0103830796211
"colliji01_proj","colliji01_proj",1895,17.7497180352015
"colliri02_proj","colliri02_proj",1931,5.156848647538
"collish01_proj","collish01_proj",1910,-29.6920325569743
"combsea01_proj","combsea01_proj",1924,11.5927181471147
"conceda01_proj","conceda01_proj",1970,22.3852458784327
"conigto01_proj","conigto01_proj",1964,1.95197796227593
"coninje01_proj","coninje01_proj",1990,16.4566737594656
"connoro01_proj","connoro01_proj",1880,56.7723187536436
"conrowi01_proj","conrowi01_proj",1901,-9.08471638703315
"cooledu01_proj","cooledu01_proj",1893,-24.1993858900358
"coomero01_proj","coomero01_proj",1995,0.807955605938277
"coonejo01_proj","coonejo01_proj",1921,-44.3143835725403
"coopece01_proj","coopece01_proj",1971,18.3152123068875
"coopewa01_proj","coopewa01_proj",1940,-7.84446556954181
"coraal01_proj","coraal01_proj",1998,7.32008510921847
"corajo01_proj","corajo01_proj",1987,0.925445068056706
"corcoto01_proj","corcoto01_proj",1892,-25.3968869018796
"cordewi01_proj","cordewi01_proj",1992,-2.33849639171675
"cordoma01_proj","cordoma01_proj",1995,5.30044904290105
"coughbi01_proj","coughbi01_proj",1899,-20.0751589261813
"counscr01_proj","counscr01_proj",1997,22.8882141768042
"cowenal01_proj","cowenal01_proj",1974,1.29673786476429
"coxbi02_proj","coxbi02_proj",1941,-8.96924865970032
"cozarza01_proj","cozarza01_proj",2011,20.7321805603852
"cramedo01_proj","cramedo01_proj",1929,-38.6193073296194
"crandde01_proj","crandde01_proj",1949,3.55736598123271
"cravaga01_proj","cravaga01_proj",1908,6.38873008778354
"crawfbr01_proj","crawfbr01_proj",2011,29.0225562901907
"crawfca02_proj","crawfca02_proj",2002,45.2075101528321
"crawfsa01_proj","crawfsa01_proj",1899,27.0855775204935
"crawfwi01_proj","crawfwi01_proj",1964,1.4820919827357
"credejo01_proj","credejo01_proj",2000,16.0062108611136
"crigelo01_proj","crigelo01_proj",1896,-34.1560547074165
"crispco01_proj","crispco01_proj",2002,32.4346827091315
"critzhu01_proj","critzhu01_proj",1924,-12.315818043832
"cromawa01_proj","cromawa01_proj",1974,4.01479152370401
"cronijo01_proj","cronijo01_proj",1926,17.5577672656039
"crosefr01_proj","crosefr01_proj",1932,-13.0949917559241
"crossla01_proj","crossla01_proj",1892,-2.54000660276976
"crossmo01_proj","crossmo01_proj",1892,-29.7936208655061
"cruzde01_proj","cruzde01_proj",1997,8.56393399444873
"cruzjo01_proj","cruzjo01_proj",1970,35.255080183605
"cruzjo02_proj","cruzjo02_proj",1997,20.4633590059768
"cruzju01_proj","cruzju01_proj",1977,5.30045127505265
"cruzne02_proj","cruzne02_proj",2005,36.8627952361603
"cuccito01_proj","cuccito01_proj",1930,-0.0407301146913587
"cuddymi01_proj","cuddymi01_proj",2001,19.4265657993473
"cullero01_proj","cullero01_proj",1938,12.2223920419557
"cunnijo01_proj","cunnijo01_proj",1954,3.57726668406456
"curtich01_proj","curtich01_proj",1992,12.6243808395107
"cutshge01_proj","cutshge01_proj",1912,-13.0225170642699
"cuyleki01_proj","cuyleki01_proj",1921,5.4277344023629
"dahlebi01_proj","dahlebi01_proj",1891,22.6797911488677
"dahlgba01_proj","dahlgba01_proj",1935,-20.6870582380693
"dalryab01_proj","dalryab01_proj",1880,-1.4481860047538
"dalrycl01_proj","dalrycl01_proj",1960,1.21041554315717
"dalyto01_proj","dalyto01_proj",1887,-20.3206618380059
"damonjo01_proj","damonjo01_proj",1995,55.8317111716477
"darkal01_proj","darkal01_proj",1946,19.8866348070805
"daubeja01_proj","daubeja01_proj",1910,-1.91241964040012
"dauerri01_proj","dauerri01_proj",1976,4.96505170392521
"daultda01_proj","daultda01_proj",1983,8.46898678126843
"davalvi01_proj","davalvi01_proj",1963,-6.54389369734327
"davenji01_proj","davenji01_proj",1958,-0.530425738740541
"davisal01_proj","davisal01_proj",1984,11.5948806518843
"davisch01_proj","davisch01_proj",1981,20.8839777628563
"davisch02_proj","davisch02_proj",2008,22.1599754946664
"daviser01_proj","daviser01_proj",1984,23.0857810918297
"davisge01_proj","davisge01_proj",1890,35.0687616056808
"davisgl01_proj","davisgl01_proj",1984,14.2134080810594
"davisha01_proj","davisha01_proj",1895,-17.6929871028751
"davisjo02_proj","davisjo02_proj",1981,6.73231252405688
"daviskh01_proj","daviskh01_proj",2013,16.6942730555261
"davisra01_proj","davisra01_proj",2006,16.6762356942944
"davissp01_proj","davissp01_proj",1928,-13.2223117736229
"davisto02_proj","davisto02_proj",1960,-2.81838179161185
"daviswi02_proj","daviswi02_proj",1960,34.384114639431
"dawsoan01_proj","dawsoan01_proj",1976,45.0144766080576
"decindo01_proj","decindo01_proj",1973,33.3678995905191
"deerro01_proj","deerro01_proj",1984,5.61793638040318
"dejesda01_proj","dejesda01_proj",2003,26.6260008526591
"dejesiv01_proj","dejesiv01_proj",1974,-8.77987251212162
